epoch,g_total,g_adv,g_recon,d_loss,val_l1
1,11.933249,0.235156,11.698092,1.712482,0.173858
2,5.764750,0.181686,5.583065,1.942325,0.184009
3,5.779744,0.306516,5.473228,1.752108,0.193733
4,6.316282,0.629882,5.686399,1.527855,0.173274
5,6.270092,0.657969,5.612123,1.424896,0.185159
6,6.389017,0.688416,5.700601,1.515601,0.169740
7,6.333819,0.555732,5.778088,1.664708,0.163949
8,6.420470,0.615332,5.805138,1.516784,0.167309
9,6.283250,0.470260,5.812990,1.762774,0.164893
10,6.374309,0.593458,5.780851,1.654496,0.174120
11,6.204473,0.476356,5.728116,1.775318,0.175509
12,6.373796,0.592766,5.781031,1.720521,0.158352
13,6.368640,0.588178,5.780462,1.664288,0.162625
14,6.461350,0.644300,5.817050,1.670841,0.168313
15,6.499057,0.626207,5.872850,1.660252,0.168928
16,6.588486,0.660019,5.928467,1.690516,0.175420
17,6.419394,0.669031,5.750363,1.605354,0.168850
18,6.479833,0.654667,5.825167,1.667027,0.183046
19,6.396733,0.573228,5.823504,1.695595,0.169375
20,6.424278,0.667281,5.756997,1.592952,0.170651
21,6.553720,0.663746,5.889975,1.640057,0.172173
22,6.438942,0.615962,5.822980,1.646098,0.158145
23,6.502584,0.681676,5.820908,1.670268,0.155450
24,6.495052,0.653492,5.841560,1.647166,0.180991
25,6.464052,0.670128,5.793924,1.610726,0.181047
26,6.420524,0.620475,5.800048,1.676282,0.160974
27,6.303808,0.582408,5.721400,1.715953,0.170046
28,6.369624,0.595347,5.774276,1.646882,0.165472
29,6.392316,0.656888,5.735428,1.632849,0.186243
30,6.403988,0.673538,5.730451,1.646231,0.292123
31,6.414905,0.631159,5.783745,1.622804,0.166679
32,6.350367,0.619625,5.730742,1.643462,0.165497
33,6.387048,0.628138,5.758911,1.679468,0.164633
34,6.336390,0.616829,5.719562,1.613296,0.167000
35,6.412652,0.645959,5.766694,1.617860,0.172070
36,6.297379,0.580011,5.717368,1.620437,0.193653
37,6.332724,0.641623,5.691101,1.616564,0.169396
38,6.298265,0.612507,5.685758,1.670966,0.164962
39,6.312329,0.621620,5.690709,1.633420,0.165894
40,6.277690,0.603746,5.673944,1.658393,0.179076
41,6.319500,0.615034,5.704467,1.661414,0.166066
42,6.230356,0.619236,5.611120,1.615717,0.172364
43,6.227227,0.555378,5.671849,1.666310,0.188185
44,6.252344,0.594889,5.657455,1.681485,0.174401
45,6.197142,0.567217,5.629925,1.700450,0.178131
46,6.153448,0.582041,5.571407,1.656449,0.169673
47,6.057587,0.541732,5.515855,1.690743,0.168948
48,6.042240,0.526410,5.515829,1.713058,0.169681
49,6.039623,0.576480,5.463143,1.684538,0.181884
50,6.036070,0.548892,5.487178,1.703657,0.161214
51,5.938101,0.511362,5.426739,1.747647,0.166154
52,5.935303,0.537308,5.397995,1.697851,0.167588
53,5.825030,0.493560,5.331470,1.705919,0.169501
54,5.751650,0.453865,5.297785,1.730505,0.172774
55,5.734939,0.464358,5.270581,1.735357,0.168605
56,5.675436,0.488593,5.186844,1.723643,0.166783
57,5.557991,0.441086,5.116905,1.739558,0.167516
58,5.541885,0.431750,5.110136,1.756662,0.165328
59,5.485106,0.427815,5.057291,1.739336,0.170211
60,5.474161,0.400186,5.073975,1.801880,0.164243
61,5.385042,0.417460,4.967582,1.771851,0.173794
62,5.323524,0.404683,4.918841,1.761046,0.172515
63,5.259686,0.357592,4.902094,1.821078,0.167178
64,5.201412,0.365216,4.836196,1.807001,0.176889
65,5.146264,0.359717,4.786547,1.803016,0.166834
66,5.128694,0.362269,4.766424,1.828179,0.169734
67,5.033953,0.317959,4.715993,1.821608,0.164626
68,5.051992,0.374998,4.676993,1.814905,0.165274
69,4.991861,0.329460,4.662401,1.850683,0.159650
70,4.897099,0.308327,4.588771,1.833854,0.165959
71,4.919558,0.348530,4.571028,1.837246,0.163699
72,4.837881,0.314840,4.523041,1.849111,0.164180
73,4.836075,0.320566,4.515508,1.856930,0.161655
74,4.835938,0.335054,4.500885,1.858288,0.160661
75,4.714431,0.288978,4.425454,1.851321,0.167616
76,4.683969,0.281656,4.402312,1.871186,0.164091
77,4.678754,0.302799,4.375956,1.862166,0.164312
