epoch,g_total,g_adv,g_recon,d_loss,val_l1
1,12.194784,0.489322,11.705462,1.685631,0.173648
2,6.111152,0.438794,5.672359,1.721790,0.166556
3,6.008698,0.359103,5.649594,1.623742,0.178458
4,6.047904,0.404981,5.642923,1.711077,0.186279
5,6.212761,0.459004,5.753757,1.692663,0.161991
6,6.171696,0.495033,5.676663,1.656147,0.158283
7,6.164683,0.512280,5.652403,1.703944,0.169822
8,6.279634,0.619536,5.660097,1.636487,0.182823
9,6.336364,0.535102,5.801263,1.662405,0.182540
10,6.428586,0.590593,5.837993,1.642875,0.164932
11,6.362180,0.623840,5.738339,1.616902,0.180223
12,6.318082,0.511069,5.807013,1.775823,0.166503
13,6.404486,0.603502,5.800983,1.696246,0.174688
14,6.405696,0.578616,5.827081,1.737526,0.166631
15,6.324183,0.515799,5.808384,1.752249,0.192232
16,6.427195,0.643726,5.783468,1.712880,0.178853
17,6.367663,0.607472,5.760192,1.768493,0.178791
18,6.363350,0.643569,5.719781,1.671900,0.158566
19,6.352265,0.548249,5.804017,1.768705,0.165469
20,6.363889,0.622873,5.741016,1.722363,0.170115
21,6.409655,0.610045,5.799610,1.675157,0.158033
22,6.384346,0.580325,5.804020,1.717463,0.175156
23,6.318317,0.560811,5.757506,1.745157,0.164514
24,6.396725,0.613018,5.783708,1.651814,0.182038
25,6.366639,0.596410,5.770229,1.734375,0.171937
26,6.330936,0.561706,5.769230,1.731601,0.167158
27,6.262632,0.604600,5.658033,1.725779,0.197136
28,6.247426,0.522820,5.724607,1.691964,0.173227
29,6.354847,0.611475,5.743372,1.685618,0.166433
30,6.311379,0.634604,5.676775,1.669002,0.164993
31,6.302761,0.568333,5.734428,1.661728,0.180453
32,6.335184,0.610724,5.724460,1.713551,0.157481
33,6.293730,0.595975,5.697755,1.723692,0.164850
34,6.289755,0.632938,5.656817,1.617630,0.184676
35,6.236600,0.600981,5.635619,1.665704,0.172717
36,6.259192,0.577347,5.681844,1.645532,0.170876
37,6.259258,0.597511,5.661747,1.631326,0.179125
38,6.241580,0.613825,5.627756,1.698872,0.167692
39,6.202070,0.570473,5.631598,1.665439,0.173166
40,6.212190,0.563158,5.649032,1.706275,0.183826
41,6.206797,0.554412,5.652386,1.669160,0.160208
42,6.217132,0.626344,5.590788,1.621483,0.176527
43,6.220886,0.591562,5.629324,1.655535,0.189227
44,6.140428,0.543951,5.596477,1.685044,0.171667
45,6.170946,0.561761,5.609184,1.697022,0.186559
46,6.133043,0.560539,5.572504,1.666723,0.165932
47,6.079913,0.548448,5.531466,1.685517,0.173088
48,6.104060,0.564417,5.539643,1.709950,0.176494
49,6.034986,0.545203,5.489782,1.674189,0.181457
