epoch,g_total,g_adv,g_recon,d_loss,val_l1,val_edge,val_ssim,val_score
1,20.848209,0.438276,20.409933,1.514800,0.376834,1.022156,0.027887,1.706702
2,12.011168,0.687961,11.323206,1.318223,0.268693,0.647773,0.047080,1.448334
3,9.376990,0.838119,8.538871,1.152947,0.231598,0.486932,0.067693,1.334331
4,8.192361,0.879259,7.313101,1.111077,0.216210,0.399716,0.086312,1.269799
5,7.423271,0.921550,6.501720,1.116732,0.202260,0.362142,0.089202,1.239808
6,7.593747,1.360364,6.233383,0.819971,0.199256,0.342009,0.105500,1.213459
7,7.534028,1.396173,6.137854,0.806071,0.208741,0.347950,0.146756,1.183767
8,7.684935,1.574672,6.110263,0.703485,0.200535,0.326121,0.127383,1.187295
9,7.751764,1.958808,5.792955,0.599720,0.190009,0.321303,0.104052,1.198413
10,7.789460,1.899791,5.889668,0.669472,0.199048,0.328775,0.086478,1.227642
11,7.875321,1.773767,6.101554,0.691705,0.194094,0.325746,0.099935,1.208170
12,7.514293,1.541328,5.972965,0.991713,0.342861,0.425511,0.025580,1.466210
13,7.525436,1.509629,6.015807,1.025360,0.199663,0.321963,0.119154,1.193196
14,7.887341,1.842389,6.044952,0.723971,0.208820,0.319685,0.108423,1.212287
15,7.789150,1.838509,5.950641,0.700835,0.199183,0.320555,0.117884,1.193494
16,7.641604,1.716088,5.925517,0.864712,0.190618,0.320783,0.128834,1.174058
17,7.813121,1.836837,5.976284,0.771208,0.250389,0.364483,0.091233,1.286725
18,7.719207,1.635244,6.083963,0.779939,0.190888,0.318720,0.121464,1.180976
19,7.590687,1.899361,5.691326,0.593268,0.190389,0.324787,0.131562,1.172502
20,7.852500,2.043240,5.809259,0.703722,0.206006,0.332448,0.141963,1.180401
21,7.827980,2.005363,5.822617,0.777381,0.193626,0.325266,0.130905,1.176564
22,7.675693,1.873979,5.801714,0.818073,0.242052,0.356286,0.082142,1.284610
23,7.600771,1.756468,5.844304,0.806931,0.193361,0.321385,0.095915,1.209931
24,7.703053,1.963359,5.739695,0.656104,0.189407,0.321175,0.128489,1.173329
25,7.823997,2.008743,5.815254,0.654082,0.189246,0.323461,0.131174,1.171283
26,7.750445,1.967684,5.782762,0.769454,0.192911,0.328894,0.147172,1.160852
27,7.836515,1.997079,5.839437,0.849541,0.188498,0.327464,0.130900,1.172210
28,7.694877,1.805197,5.889680,0.944058,0.191226,0.325488,0.130878,1.174268
29,7.641147,1.676543,5.964604,0.664477,0.197881,0.335700,0.074178,1.241198
30,7.761774,1.808393,5.953381,0.928737,0.197081,0.334394,0.113781,1.200338
31,7.457833,1.530790,5.927043,1.082099,0.193175,0.332156,0.119037,1.190393
32,7.431183,1.572015,5.859167,1.030532,0.211747,0.324484,0.137743,1.187573
33,7.922601,1.957414,5.965188,1.076897,0.194975,0.334644,0.117177,1.194923
34,7.674192,1.684240,5.989953,0.908774,0.188318,0.334316,0.148567,1.156761
35,7.630215,1.683041,5.947174,0.946218,0.202852,0.335042,0.099606,1.220510
36,7.287077,1.404732,5.882344,0.989606,0.191451,0.334545,0.134239,1.174303
37,7.509877,1.589056,5.920821,0.888845,0.196204,0.338716,0.146539,1.168216
38,7.775218,1.778782,5.996436,0.858149,0.193679,0.344092,0.138672,1.175440
39,7.533625,1.678501,5.855124,0.861472,0.209435,0.336057,0.169427,1.157628
40,7.593419,1.701066,5.892353,0.822746,0.194511,0.337979,0.145179,1.167624
41,7.493579,1.621021,5.872559,0.921086,0.188960,0.342267,0.135387,1.173366
42,7.455236,1.550807,5.904429,0.901807,0.192407,0.350910,0.124512,1.190714
43,7.467710,1.532329,5.935381,0.877464,0.184641,0.349157,0.143415,1.163431
44,7.681309,1.749788,5.931520,0.869847,0.189046,0.352585,0.147313,1.165138
45,7.560033,1.713418,5.846615,0.745212,0.189104,0.348000,0.131656,1.179248
46,7.563976,1.699221,5.864755,0.910094,0.184807,0.350165,0.145330,1.162035
47,7.450287,1.549809,5.900478,0.832280,0.180907,0.343254,0.171860,1.129186
48,7.536494,1.579087,5.957407,0.851748,0.180246,0.349619,0.166761,1.135851
49,7.338881,1.483404,5.855477,0.871676,0.187811,0.354486,0.169169,1.142712
50,7.363158,1.585063,5.778094,0.950082,0.240563,0.373216,0.162431,1.208757
51,7.550051,1.602261,5.947790,0.998576,0.189506,0.343265,0.165994,1.143655
52,7.407120,1.541486,5.865633,0.843674,0.180787,0.354701,0.145914,1.159018
53,7.708961,1.751413,5.957549,0.834698,0.176716,0.350625,0.171588,1.127846
54,7.504735,1.605467,5.899268,0.985802,0.172779,0.338059,0.194495,1.096606
55,7.505879,1.595347,5.910532,0.963482,0.175055,0.352221,0.198988,1.099344
56,7.550094,1.631494,5.918600,1.032840,0.185567,0.357081,0.167211,1.143335
57,7.358269,1.382923,5.975346,1.170903,0.181331,0.361303,0.188451,1.119335
58,7.409291,1.518657,5.890635,1.037142,0.174503,0.340323,0.180619,1.112996
