epoch,g_total,g_adv,g_recon,d_loss,val_l1,val_edge,val_ssim,val_score
1,17.213455,0.682209,16.531246,1.104228,0.425863,0.651113,0.065926,1.587827
2,12.142706,0.775269,11.367437,1.346960,0.248551,0.620777,0.061897,1.403926
3,9.167492,0.788011,8.379480,1.451633,0.211346,0.458093,0.122778,1.248901
4,8.347091,1.031659,7.315432,1.206459,0.191982,0.425202,0.152103,1.188700
5,7.643927,0.793460,6.850467,1.405727,0.185383,0.363352,0.160505,1.152052
6,7.791259,1.255757,6.535502,1.031676,0.200935,0.342453,0.228760,1.092034
7,7.841270,1.035368,6.805902,1.292399,0.321682,0.415148,-0.008729,1.475713
8,7.375936,1.154972,6.220963,1.214269,0.174218,0.327467,0.222789,1.066042
9,7.388923,1.226112,6.162810,1.056899,0.176120,0.324091,0.177799,1.111753
10,7.482617,1.482845,5.999773,1.000660,0.180731,0.317352,0.201038,1.090765
11,7.339518,1.492659,5.846859,0.882954,0.187572,0.314235,0.244677,1.052878
12,7.991178,2.056048,5.935129,0.656595,0.163143,0.313974,0.204313,1.068720
13,7.654482,1.941390,5.713092,0.516719,0.188786,0.316466,0.195056,1.104492
14,7.659435,1.981358,5.678078,0.829285,0.195682,0.326225,0.121791,1.188070
15,7.765760,2.033520,5.732240,0.648730,0.178836,0.321674,0.150700,1.140721
16,8.120667,2.308926,5.811739,0.464697,0.162592,0.316071,0.221873,1.051343
17,7.549277,1.927528,5.621748,0.944029,0.166784,0.313960,0.187888,1.088782
18,7.458672,1.714615,5.744057,0.838093,0.166268,0.316707,0.223824,1.053291
19,7.380282,1.640962,5.739320,0.922570,0.164942,0.317232,0.181942,1.094031
20,7.540905,1.836309,5.704596,0.732400,0.233287,0.354736,0.073075,1.284370
21,7.961807,2.248296,5.713511,0.285480,0.180373,0.310946,0.157166,1.132038
22,7.920996,2.219342,5.701653,0.476942,0.162007,0.322669,0.185538,1.089402
23,8.066181,2.254456,5.811725,0.316646,0.167466,0.313151,0.196551,1.080518
24,7.915762,2.245450,5.670312,0.243479,0.168797,0.320615,0.237125,1.043888
25,7.858773,2.042867,5.815906,0.327447,0.160691,0.312799,0.201331,1.068840
26,8.495659,2.892424,5.603235,0.235441,0.154088,0.315007,0.227300,1.037039
27,7.914158,2.273551,5.640607,0.491131,0.174834,0.325000,0.227315,1.061270
28,8.227028,2.254377,5.972651,0.590370,0.176107,0.332397,0.236337,1.056108
29,7.754089,1.930721,5.823369,0.918683,0.154100,0.312518,0.221580,1.041902
30,7.585948,1.905736,5.680212,0.454704,0.159303,0.314689,0.192269,1.077176
31,7.801054,2.020177,5.780878,0.639356,0.170943,0.331722,0.224186,1.062859
32,7.630517,1.902279,5.728237,1.069151,0.188479,0.329630,0.214917,1.088933
33,7.309363,1.572406,5.736957,1.127864,0.162875,0.327928,0.219847,1.057803
34,7.584315,1.863972,5.720344,1.184582,0.186707,0.349538,0.162148,1.146897
35,7.215563,1.441422,5.774141,1.274740,0.171517,0.326220,0.251860,1.033834
36,7.158561,1.258011,5.900550,1.187912,0.172179,0.332806,0.190716,1.097945
37,7.098401,1.299060,5.799340,1.206631,0.169582,0.337435,0.211867,1.075818
38,7.695099,1.879539,5.815559,0.783934,0.167329,0.334022,0.174440,1.109797
39,7.286028,1.618822,5.667206,1.120583,0.195448,0.349940,0.206531,1.111397
40,7.163267,1.318501,5.844766,1.065367,0.177157,0.339745,0.215271,1.080796
41,7.292601,1.543756,5.748845,1.195145,0.171827,0.343827,0.204642,1.087524
42,6.702657,1.016375,5.686281,1.294018,0.187218,0.333932,0.217918,1.086176
43,7.280518,1.505216,5.775303,1.126413,0.175320,0.345711,0.177097,1.119222
44,7.207384,1.470868,5.736516,1.017016,0.161215,0.338636,0.198989,1.080749
45,7.173528,1.390132,5.783396,1.093104,0.185550,0.359327,0.191759,1.119555
46,7.041079,1.253110,5.787969,1.367556,0.177248,0.332290,0.236869,1.056680
47,6.977486,1.203603,5.773883,1.359697,0.179444,0.361512,0.165609,1.140364
48,6.869674,1.135422,5.734251,1.143219,0.192499,0.347517,0.145154,1.168975
49,7.015434,1.384361,5.631073,1.293664,0.162903,0.330858,0.202398,1.076306
50,6.997622,1.260294,5.737329,1.173581,0.185189,0.338840,0.188186,1.115598
51,7.067572,1.311561,5.756010,1.372549,0.169130,0.353449,0.138497,1.154340
52,6.667124,0.965000,5.702124,1.292945,0.188676,0.355148,0.148682,1.164296
53,6.880383,1.172056,5.708327,1.296107,0.166665,0.331615,0.137761,1.144969
54,6.620606,0.957448,5.663159,1.268417,0.181005,0.347173,0.130287,1.172229
55,6.530182,0.892291,5.637891,1.350645,0.168911,0.342876,0.212477,1.076440
56,6.477954,0.817419,5.660535,1.434835,0.210083,0.394500,0.123320,1.224839
57,6.428943,0.843480,5.585463,1.433598,0.174808,0.351296,0.187096,1.110666
58,6.480621,0.812779,5.667842,1.414767,0.183619,0.358944,0.145953,1.163297
59,6.412187,0.812024,5.600163,1.500531,0.175206,0.341984,0.197900,1.097000
60,6.372540,0.774867,5.597672,1.420825,0.184048,0.353621,0.162012,1.145803
61,6.371740,0.803701,5.568039,1.515754,0.202996,0.396167,0.138717,1.202937
62,6.301789,0.715725,5.586064,1.533261,0.171038,0.357949,0.158112,1.138208
63,6.303505,0.747739,5.555765,1.549658,0.192746,0.374733,0.133868,1.190035
64,6.228094,0.620837,5.607257,1.579445,0.169195,0.338454,0.158152,1.129501
65,6.117626,0.673305,5.444321,1.509169,0.164798,0.329137,0.147422,1.132574
66,6.172958,0.643093,5.529864,1.578868,0.167216,0.331364,0.166621,1.116572
67,6.086112,0.566976,5.519135,1.599254,0.176021,0.334089,0.106757,1.186195
68,6.094739,0.584969,5.509769,1.603995,0.167427,0.330112,0.123179,1.159787
69,6.063733,0.633538,5.430194,1.579435,0.172243,0.340971,0.134855,1.156727
70,5.982449,0.551152,5.431296,1.627136,0.175844,0.345106,0.144936,1.151696
71,5.921750,0.528355,5.393394,1.556808,0.187581,0.361801,0.104835,1.209376
72,5.861995,0.537675,5.324320,1.592658,0.182096,0.332754,0.108582,1.189977
73,5.829617,0.511635,5.317982,1.668217,0.186373,0.361450,0.109677,1.203204
74,5.763081,0.517668,5.245412,1.632606,0.177871,0.353966,0.172724,1.129035
75,5.782553,0.490282,5.292272,1.674553,0.178875,0.357106,0.161807,1.142055
76,5.691811,0.410047,5.281764,1.667794,0.183549,0.344641,0.106886,1.197287
77,5.633429,0.456072,5.177357,1.650013,0.172862,0.337876,0.108315,1.182803
78,5.607714,0.464344,5.143371,1.633480,0.183392,0.359699,0.101189,1.208098
79,5.622161,0.418658,5.203504,1.726511,0.177382,0.349830,0.142820,1.157002
80,5.616865,0.503105,5.113760,1.600811,0.183346,0.348306,0.107611,1.197641
81,5.594802,0.458628,5.136174,1.675867,0.182653,0.352782,0.081540,1.224587
82,5.598161,0.507772,5.090388,1.623616,0.183349,0.355472,0.107760,1.200005
83,5.551110,0.492181,5.058929,1.605117,0.178979,0.344010,0.099959,1.199424
84,5.550828,0.482892,5.067935,1.648624,0.184039,0.352382,0.130437,1.176935
85,5.546287,0.497769,5.048518,1.643940,0.178419,0.344106,0.143864,1.154992
86,5.526340,0.566126,4.960215,1.558044,0.177351,0.350517,0.146935,1.153098
87,5.512594,0.517564,4.995029,1.671430,0.182520,0.360981,0.107785,1.201079
88,5.396042,0.437586,4.958456,1.666348,0.173191,0.340176,0.115700,1.176553
89,5.407842,0.480254,4.927588,1.575836,0.177138,0.339377,0.125121,1.170800
90,5.407802,0.478640,4.929162,1.646541,0.180800,0.351219,0.143922,1.159804
91,5.386870,0.469121,4.917750,1.629544,0.184805,0.364640,0.120701,1.191728
92,5.349764,0.464887,4.884877,1.632507,0.175490,0.334779,0.121905,1.170758
93,5.366144,0.466962,4.899182,1.630517,0.182836,0.363153,0.149289,1.160651
94,5.363985,0.483026,4.880960,1.633884,0.174824,0.332544,0.113897,1.177317
95,5.382684,0.454288,4.928396,1.697972,0.178171,0.342171,0.135361,1.162570
96,5.254087,0.433029,4.821058,1.645481,0.177002,0.341542,0.107212,1.189329
97,5.335768,0.462547,4.873220,1.655011,0.175988,0.349416,0.123883,1.174400
