epoch,g_total,g_adv,g_recon,g_fm,g_tv,g_lap,g_ms,g_stats,g_texstats,d_loss,val_l1,val_edge,val_lap,val_stats,val_texstats,val_ssim,val_score
1,24.654610,0.733539,15.406530,0.348796,0.333251,0.618863,27.060661,0.949628,0.486920,1.195990,0.654702,0.467140,0.608943,0.920640,0.254077,0.055036,2.417781
2,13.400970,0.510279,7.657735,0.168170,0.350381,0.593248,16.871777,0.355082,0.221882,1.560627,0.184042,0.331013,0.322808,0.236855,0.185683,0.115110,1.420086
3,9.335419,0.296889,5.097517,0.112264,0.253772,0.432141,14.511229,0.168879,0.121962,1.867916,0.182405,0.333378,0.289703,0.235780,0.213960,0.153717,1.387998
4,9.427258,0.333784,5.116395,0.125748,0.246350,0.418106,14.619809,0.179440,0.120670,1.852549,0.202350,0.335797,0.280448,0.231086,0.192802,0.151885,1.394191
5,9.545650,0.369388,5.154469,0.133212,0.239754,0.405762,14.983675,0.180270,0.117671,1.821912,0.196395,0.324376,0.310849,0.216829,0.175997,0.132916,1.395467
6,9.508234,0.372311,5.132331,0.133636,0.234950,0.397524,15.071703,0.171903,0.116800,1.877024,0.186493,0.331821,0.266707,0.236823,0.224175,0.142303,1.404301
7,9.505560,0.362387,5.159993,0.137043,0.226304,0.382994,15.030050,0.181734,0.114285,1.790575,0.191425,0.333034,0.273856,0.218851,0.189550,0.133080,1.392217
8,9.561129,0.452507,5.172368,0.146224,0.217058,0.367501,14.778004,0.182084,0.114541,1.780805,0.188411,0.324871,0.292661,0.226236,0.189668,0.151107,1.377602
9,9.596855,0.484279,5.181392,0.167268,0.210997,0.357004,14.497707,0.183291,0.112480,1.722205,0.199154,0.321965,0.270471,0.232474,0.184855,0.136679,1.397840
10,9.418886,0.408719,5.150784,0.169970,0.198184,0.337634,14.250969,0.185492,0.113223,1.873608,0.195479,0.327222,0.242248,0.210377,0.173378,0.132875,1.375344
11,9.087984,0.369937,5.181474,0.171319,0.157122,0.276529,12.804119,0.197875,0.130491,1.868077,0.194138,0.335797,0.324944,0.220283,0.137326,0.157222,1.354518
12,8.665020,0.325355,5.090030,0.173957,0.144446,0.260609,11.182611,0.185784,0.133732,1.817391,0.196454,0.322862,0.219522,0.227199,0.165856,0.111867,1.395817
13,8.723669,0.379777,5.057269,0.169634,0.132565,0.240329,11.883549,0.187153,0.127005,1.804598,0.187702,0.315658,0.212211,0.195634,0.171059,0.139396,1.343710
14,8.583579,0.347175,5.035841,0.179643,0.124320,0.228515,11.324368,0.184644,0.126926,1.783250,0.189924,0.322059,0.201706,0.206803,0.141681,0.153981,1.319615
15,8.485655,0.353749,5.036535,0.177724,0.116656,0.217720,10.716455,0.195410,0.129275,1.822851,0.209799,0.325422,0.206944,0.219404,0.095934,0.154412,1.321956
16,8.578202,0.335761,5.015913,0.176835,0.114687,0.214495,11.676503,0.196400,0.126133,1.798303,0.187955,0.318136,0.204490,0.210042,0.139003,0.166351,1.305329
17,8.421432,0.367207,5.006714,0.182199,0.113713,0.211826,10.565804,0.181903,0.124655,1.745280,0.225179,0.329678,0.198793,0.270532,0.129940,0.125325,1.409664
18,8.502926,0.384153,5.034822,0.177670,0.115685,0.213242,10.945538,0.181886,0.116017,1.786554,0.197482,0.326035,0.198653,0.216498,0.115662,0.134745,1.336990
19,8.527740,0.422692,5.012798,0.173844,0.111416,0.206786,11.197548,0.182496,0.113302,1.810516,0.206343,0.323307,0.198669,0.227926,0.112689,0.129973,1.354214
20,8.448315,0.430327,5.079059,0.188519,0.109322,0.202716,9.967858,0.184751,0.108119,1.739363,0.198884,0.324565,0.192008,0.221031,0.120021,0.131934,1.344142
21,8.470832,0.401228,5.014575,0.180776,0.108957,0.203095,10.862849,0.187410,0.108503,1.820841,0.207355,0.319099,0.190589,0.239494,0.133528,0.124475,1.375434
22,8.351070,0.319901,5.056177,0.182819,0.109412,0.201869,10.340916,0.188833,0.102718,1.836534,0.197945,0.325439,0.193873,0.222302,0.105785,0.222454,1.246055
23,8.442266,0.333589,5.072777,0.175641,0.111105,0.202609,10.925461,0.187497,0.098390,1.831394,0.211265,0.329894,0.193792,0.234030,0.088726,0.121178,1.357917
24,8.456398,0.394886,5.064671,0.185444,0.110199,0.200817,10.568085,0.186681,0.090564,1.815878,0.210012,0.322471,0.237340,0.238499,0.112891,0.154250,1.347361
25,8.576572,0.392794,5.161736,0.173571,0.111926,0.204487,10.804306,0.197160,0.092112,1.852642,0.204565,0.331970,0.198635,0.228955,0.087653,0.150080,1.320626
26,8.461470,0.428321,5.098079,0.175693,0.110434,0.200233,10.331062,0.193532,0.086262,1.841687,0.194171,0.327185,0.218822,0.209241,0.098577,0.099684,1.360359
27,8.142668,0.303379,5.017372,0.175112,0.109127,0.197783,9.759553,0.179370,0.086315,1.829042,0.215870,0.329748,0.219809,0.242785,0.090517,0.142387,1.352372
28,8.369417,0.358073,5.143114,0.172899,0.112127,0.199983,9.993608,0.193034,0.080768,1.838407,0.238144,0.338973,0.195958,0.285659,0.076074,0.151815,1.375126
29,8.477261,0.347615,5.163648,0.175947,0.113430,0.200335,10.601103,0.191185,0.080103,1.846688,0.200707,0.323942,0.203496,0.238605,0.109182,0.143680,1.339458
30,8.327707,0.379684,5.107764,0.175649,0.113243,0.199554,9.884227,0.182393,0.077502,1.767425,0.199943,0.340900,0.201320,0.207865,0.069784,0.110015,1.337894
31,8.296961,0.384354,5.147556,0.172482,0.114656,0.200250,9.396944,0.187629,0.076120,1.800459,0.198975,0.323830,0.194228,0.243900,0.111740,0.144654,1.338748
32,8.367731,0.376041,5.110940,0.172542,0.114964,0.200581,10.200880,0.180938,0.079028,1.805236,0.198329,0.346545,0.202739,0.208797,0.064042,0.198165,1.246766
33,8.573524,0.366187,5.255151,0.177052,0.114459,0.203331,10.305379,0.203201,0.082761,1.899539,0.195589,0.332197,0.208068,0.234090,0.095084,0.172121,1.298379
34,8.475537,0.387698,5.134324,0.165498,0.116674,0.204143,10.700069,0.189933,0.077218,1.805325,0.206469,0.334072,0.203985,0.236471,0.088598,0.106390,1.372053
35,8.282082,0.351255,5.145905,0.173897,0.116482,0.200629,9.542069,0.186090,0.071994,1.780318,0.203361,0.338944,0.194589,0.217669,0.073679,0.142100,1.314439
36,8.253138,0.363389,5.156431,0.171192,0.114334,0.198227,9.178253,0.196948,0.073419,1.829198,0.194501,0.345117,0.202563,0.211603,0.064143,0.136582,1.305684
37,8.350065,0.437674,5.122741,0.173653,0.117392,0.201819,9.577779,0.183748,0.072410,1.750013,0.198385,0.332650,0.203213,0.227234,0.089813,0.166071,1.299911
38,8.403541,0.430803,5.149121,0.176850,0.120547,0.206242,9.652027,0.186983,0.070742,1.763294,0.196901,0.328538,0.195528,0.230674,0.098066,0.091812,1.376515
39,8.413027,0.353900,5.183275,0.174050,0.118573,0.202631,10.094075,0.190799,0.068832,1.795231,0.208427,0.333085,0.202749,0.247494,0.083920,0.184945,1.297945
40,8.470810,0.417800,5.232403,0.175046,0.117736,0.202146,9.692152,0.193045,0.068918,1.810688,0.208095,0.340679,0.196624,0.223236,0.066038,0.176257,1.284356
41,8.588182,0.404555,5.180521,0.174250,0.116722,0.200204,10.982553,0.186808,0.072875,1.790698,0.194336,0.341048,0.201327,0.219705,0.076475,0.096712,1.355218
42,8.265582,0.417489,5.145889,0.173389,0.119079,0.202438,9.043878,0.181520,0.068254,1.756357,0.207548,0.339808,0.205810,0.251352,0.080986,0.101830,1.382379
43,8.577663,0.397512,5.234385,0.171608,0.119962,0.204055,10.569258,0.190698,0.071036,1.809602,0.193367,0.342399,0.200891,0.215025,0.071769,0.187252,1.258928
44,8.516674,0.366397,5.259927,0.179829,0.119124,0.200896,10.091756,0.193827,0.066680,1.770563,0.194054,0.359384,0.202656,0.203670,0.065486,0.187161,1.254019
45,8.534698,0.487175,5.231890,0.184026,0.122550,0.205444,9.473803,0.185704,0.071463,1.739032,0.204214,0.330247,0.197673,0.236655,0.092794,0.155728,1.320783
46,8.580868,0.411029,5.227175,0.184781,0.119806,0.202121,10.297338,0.192368,0.071433,1.812837,0.216637,0.345962,0.203703,0.263028,0.076759,0.170123,1.327333
47,8.441469,0.415615,5.182522,0.180534,0.122470,0.204081,9.819027,0.182829,0.066206,1.743245,0.205799,0.378796,0.216486,0.221550,0.075696,0.105003,1.369013
48,8.564238,0.412958,5.272049,0.183028,0.120548,0.201742,9.902504,0.197608,0.066934,1.804061,0.186735,0.339592,0.197017,0.211308,0.078437,0.182627,1.257373
49,8.365202,0.434574,5.200859,0.183262,0.120537,0.202117,8.967273,0.188123,0.069020,1.745537,0.212800,0.343051,0.197097,0.249290,0.065118,0.190936,1.287435
50,8.583221,0.403146,5.246858,0.185361,0.120577,0.203359,10.187088,0.194760,0.070608,1.807141,0.236025,0.366503,0.206538,0.271012,0.071138,0.142635,1.379430
51,8.544420,0.411612,5.217938,0.184495,0.120234,0.200212,10.230067,0.186703,0.067812,1.790898,0.200714,0.364659,0.204179,0.207210,0.068696,0.164249,1.288411
52,8.506440,0.418014,5.230374,0.187079,0.121254,0.201892,9.759645,0.189032,0.066705,1.719791,0.201285,0.340919,0.202227,0.235314,0.080425,0.160250,1.308781
