epoch,g_total,g_adv,g_recon,g_fm,g_tv,g_lap,g_ms,g_stats,g_texstats,d_loss,val_l1,val_edge,val_lap,val_stats,val_texstats,val_ssim,val_score
1,18.786442,0.335701,11.262073,0.193076,0.589487,0.988651,13.848093,0.405056,0.668715,1.982818,0.166050,0.325404,0.429129,0.152394,0.109915,0.144040,1.311641
2,11.174091,0.180287,5.936730,0.154785,0.299294,0.500561,12.318851,0.164503,0.122622,1.894815,0.162123,0.312677,0.338719,0.183000,0.147844,0.168714,1.297023
3,11.245648,0.298146,5.939290,0.159959,0.288059,0.481960,12.223372,0.173832,0.115092,1.842723,0.169606,0.313993,0.355422,0.194369,0.126247,0.150337,1.320602
4,11.323526,0.385719,5.917839,0.161055,0.283580,0.474402,12.287020,0.170904,0.121787,1.761549,0.162388,0.322295,0.337012,0.148329,0.150627,0.161549,1.290004
5,11.115873,0.344956,5.847712,0.157785,0.277284,0.464990,12.068834,0.168697,0.113505,1.791879,0.182277,0.315247,0.358211,0.215190,0.122051,0.185073,1.307479
6,11.287291,0.453474,5.923933,0.169880,0.273803,0.458871,11.982084,0.173986,0.112297,1.676532,0.155963,0.318492,0.329561,0.156739,0.159373,0.182328,1.269492
7,11.227268,0.452566,5.833308,0.150146,0.271740,0.455258,12.223330,0.167773,0.113803,1.714469,0.176969,0.319073,0.341343,0.179322,0.126182,0.181471,1.287088
8,11.330732,0.535004,5.920126,0.178719,0.259308,0.435795,11.957333,0.175161,0.109126,1.650277,0.170614,0.311652,0.330747,0.200066,0.167036,0.171549,1.319830
9,10.642406,0.450320,5.828253,0.190607,0.205032,0.353754,10.579927,0.180828,0.123144,1.755290,0.174987,0.317793,0.253313,0.187585,0.165841,0.120651,1.352272
10,10.599705,0.399367,5.792015,0.206481,0.192405,0.332953,10.769940,0.178486,0.123752,1.714946,0.193410,0.320978,0.278352,0.222805,0.119043,0.237903,1.251397
11,10.286564,0.334514,5.803697,0.220484,0.175199,0.307019,9.885358,0.196086,0.131996,1.743021,0.215534,0.327568,0.239043,0.279456,0.119058,0.173806,1.358490
12,10.140757,0.312499,5.791564,0.229494,0.150793,0.268605,9.685122,0.196084,0.130619,1.718963,0.177411,0.315253,0.246011,0.196861,0.125042,0.138537,1.316945
13,10.077774,0.360203,5.753859,0.223077,0.144827,0.258524,9.577283,0.191663,0.121090,1.704118,0.171030,0.317411,0.225862,0.169804,0.120333,0.166023,1.262916
14,9.988704,0.401952,5.632667,0.215617,0.138461,0.247462,9.685188,0.185515,0.115229,1.642223,0.186503,0.317472,0.221063,0.194978,0.081377,0.143941,1.290587
15,10.232697,0.484009,5.753373,0.221992,0.132124,0.237041,9.810618,0.198462,0.112241,1.608528,0.186236,0.318604,0.228285,0.193509,0.085405,0.139876,1.297659
16,10.188034,0.464052,5.745729,0.219880,0.131837,0.236973,9.777584,0.194375,0.112927,1.645670,0.203750,0.326224,0.226728,0.248253,0.075015,0.157696,1.320039
17,10.175885,0.468571,5.780666,0.223421,0.131528,0.235134,9.631666,0.194744,0.102214,1.656981,0.169868,0.322491,0.228720,0.161291,0.073720,0.215392,1.184034
18,10.213702,0.461277,5.840751,0.211364,0.133972,0.237131,9.625727,0.200392,0.097289,1.766097,0.176161,0.328617,0.222211,0.175589,0.078892,0.202533,1.212850
19,10.174145,0.410027,5.917656,0.213342,0.130585,0.231584,9.388910,0.210448,0.098261,1.800319,0.174924,0.313199,0.224097,0.215889,0.109345,0.175286,1.273400
20,10.033994,0.392998,5.797249,0.212618,0.129118,0.229280,9.464476,0.197597,0.091920,1.786616,0.206471,0.332551,0.230229,0.238908,0.064484,0.120042,1.351858
21,9.918728,0.412399,5.841932,0.219494,0.129266,0.230182,8.807577,0.204144,0.090737,1.778131,0.171032,0.322006,0.217601,0.194858,0.091352,0.226464,1.198074
22,9.982986,0.445850,5.835623,0.218541,0.132301,0.231189,8.958447,0.195557,0.091198,1.744984,0.179211,0.336851,0.262506,0.163728,0.066450,0.129906,1.286101
23,10.076975,0.444633,5.881715,0.221517,0.134677,0.236941,9.064478,0.206442,0.082841,1.803799,0.186327,0.320919,0.232208,0.207671,0.088929,0.172039,1.275885
24,9.893061,0.412203,5.808967,0.207844,0.126001,0.220092,9.019094,0.192955,0.080507,1.745402,0.202692,0.325314,0.208058,0.261729,0.066500,0.137075,1.337386
25,9.908094,0.375257,5.871183,0.217885,0.124449,0.215654,8.933784,0.200548,0.079495,1.759259,0.201260,0.362150,0.220276,0.215359,0.063761,0.123337,1.334319
26,9.822083,0.449332,5.896217,0.218272,0.131413,0.226973,8.308664,0.193708,0.070135,1.743359,0.190901,0.341115,0.220934,0.224386,0.060693,0.117363,1.329119
27,10.512009,0.657261,6.026168,0.226164,0.155323,0.268163,9.086023,0.212505,0.088697,1.805670,0.197685,0.326868,0.217351,0.244324,0.065676,0.120043,1.342579
28,10.328291,0.708515,5.919739,0.232291,0.149258,0.254004,8.813334,0.195324,0.074424,1.610104,0.185921,0.340166,0.273513,0.205799,0.066089,0.138621,1.307951
29,11.002205,1.273379,5.997434,0.251765,0.171394,0.282049,8.618872,0.200674,0.081421,1.204193,0.189617,0.344778,0.279720,0.192391,0.062475,0.144043,1.299728
30,11.403692,1.583415,5.986006,0.253462,0.189634,0.305164,8.869130,0.189837,0.079366,1.421424,0.172303,0.320766,0.226805,0.203276,0.106596,0.184042,1.256161
31,9.728374,0.309099,5.721541,0.207833,0.120692,0.213060,9.104357,0.197710,0.087433,1.840166,0.181566,0.331731,0.202484,0.193149,0.064173,0.154394,1.263300
32,9.862534,0.415168,5.924629,0.216945,0.120527,0.208932,8.502964,0.208164,0.073918,1.778752,0.178389,0.327946,0.215236,0.200264,0.072390,0.165458,1.259260
33,9.886482,0.382562,5.851671,0.210895,0.121629,0.209279,8.994001,0.198379,0.075164,1.752957,0.194569,0.349342,0.216096,0.207913,0.066472,0.143402,1.302106
34,10.121140,0.468019,6.020522,0.230072,0.125171,0.213066,8.776510,0.206572,0.076418,1.808431,0.170113,0.349773,0.241437,0.154460,0.063612,0.196519,1.201886
35,10.479946,0.846223,5.932994,0.239631,0.142087,0.235016,8.886774,0.195197,0.072489,1.582127,0.176072,0.343766,0.224235,0.184777,0.061449,0.174842,1.238625
36,10.752360,1.179634,5.912264,0.249577,0.142335,0.238682,8.691772,0.194584,0.070918,1.369782,0.201089,0.358404,0.252470,0.233438,0.074429,0.165307,1.313494
37,11.339453,1.780906,5.945115,0.265913,0.146738,0.242725,8.432705,0.192422,0.072315,1.248758,0.187663,0.355193,0.231469,0.197354,0.057917,0.202261,1.230792
38,12.256336,2.375666,5.979398,0.288295,0.166177,0.267806,9.084845,0.199203,0.080999,0.528478,0.187219,0.325828,0.277466,0.204890,0.065395,0.216028,1.229294
39,11.818675,2.002054,6.128039,0.284057,0.170161,0.273164,8.363663,0.204329,0.076349,0.854162,0.165977,0.323734,0.306701,0.140017,0.074405,0.244275,1.158380
40,11.733812,2.017698,5.941179,0.278140,0.155424,0.251899,8.850541,0.192189,0.074451,0.667070,0.177374,0.333420,0.271457,0.197206,0.072161,0.196160,1.239241
41,11.957987,2.212142,5.934728,0.283032,0.147091,0.238783,9.037770,0.191632,0.069494,0.731009,0.205433,0.335995,0.270105,0.252755,0.059964,0.147182,1.337511
42,11.824152,2.081882,5.963772,0.286223,0.153363,0.247924,8.802286,0.203172,0.074761,0.730834,0.222216,0.345807,0.262807,0.273714,0.066215,0.119070,1.396484
43,11.482302,1.871717,5.887528,0.265775,0.138429,0.227874,8.911692,0.188254,0.067389,1.042987,0.184228,0.325586,0.211690,0.224625,0.083795,0.167669,1.280136
44,11.212746,1.600019,5.907035,0.264466,0.135657,0.224946,8.823977,0.198161,0.072489,0.974164,0.196493,0.363843,0.254573,0.209674,0.073588,0.131781,1.331520
45,11.178815,1.740468,5.877895,0.270615,0.140119,0.231442,8.290834,0.192182,0.073686,0.771786,0.172875,0.340023,0.237747,0.172185,0.056003,0.202627,1.200651
46,11.115715,1.675533,5.690471,0.256923,0.134917,0.222238,9.105818,0.175796,0.072120,0.946783,0.184761,0.351221,0.218005,0.197114,0.048154,0.170108,1.250875
47,11.310889,1.558228,5.992240,0.267370,0.134309,0.222080,8.972523,0.205458,0.074909,1.091944,0.182473,0.336164,0.230259,0.212961,0.060089,0.163339,1.269830
48,11.762470,2.123549,5.892441,0.275262,0.136810,0.227473,8.915020,0.188870,0.075913,0.721645,0.185132,0.336343,0.221668,0.202896,0.059005,0.221370,1.206971
49,11.222221,1.508479,5.943892,0.249254,0.127629,0.210755,9.179728,0.200876,0.073048,1.288441,0.175611,0.349358,0.211710,0.183435,0.063475,0.174949,1.236751
50,11.403818,1.809632,5.947728,0.261652,0.131634,0.219997,8.709123,0.189498,0.069892,1.006843,0.174808,0.342683,0.199812,0.175339,0.060589,0.131622,1.269820
51,11.679736,2.249604,5.881268,0.265095,0.127236,0.211355,8.417033,0.191635,0.066472,0.856992,0.174920,0.340032,0.261664,0.176283,0.056103,0.230797,1.181893
52,10.907140,1.646405,5.786607,0.250311,0.125845,0.209999,8.290092,0.179366,0.067872,1.001081,0.182956,0.366118,0.214459,0.191744,0.068190,0.222643,1.206772
53,11.403532,1.891226,5.848151,0.253478,0.129922,0.216290,8.830214,0.186934,0.072331,1.237425,0.182226,0.331899,0.300300,0.178842,0.075324,0.193225,1.245657
54,11.514950,1.943127,5.935136,0.259300,0.128283,0.214117,8.673998,0.202171,0.069904,1.025445,0.194080,0.337255,0.231256,0.218254,0.057732,0.160257,1.286284
55,11.576443,2.082876,5.825878,0.256974,0.130923,0.220454,8.791420,0.191594,0.070637,0.956823,0.169171,0.342804,0.214717,0.176443,0.052613,0.213862,1.181410
56,11.005443,1.635699,5.941600,0.249570,0.124286,0.208504,8.074025,0.199079,0.068767,1.140914,0.157244,0.333575,0.193242,0.148441,0.056553,0.252194,1.112932
57,11.352783,2.047438,5.867823,0.254286,0.129465,0.215743,8.096740,0.185315,0.067245,0.748675,0.186440,0.349350,0.209394,0.206144,0.052666,0.197947,1.229481
58,11.751986,2.417243,5.804812,0.260763,0.132201,0.220007,8.360060,0.182466,0.066995,0.778375,0.199772,0.356307,0.206766,0.243895,0.055882,0.149090,1.312988
59,11.150604,1.703439,5.956319,0.242438,0.119560,0.201453,8.353608,0.202552,0.066231,1.394690,0.178164,0.334342,0.191370,0.195576,0.055332,0.194774,1.213893
60,11.009064,1.565016,5.915648,0.241861,0.118675,0.199107,8.513462,0.199734,0.063533,1.092358,0.191375,0.370504,0.205700,0.198572,0.069008,0.131175,1.309385
61,10.879318,1.523762,5.861153,0.234890,0.120282,0.200542,8.467029,0.186706,0.065700,1.214544,0.194700,0.336366,0.198858,0.235036,0.070903,0.095089,1.360420
62,11.068712,1.749515,5.720426,0.243513,0.122025,0.204999,8.735804,0.186824,0.069249,1.013467,0.185422,0.349144,0.199550,0.204015,0.053210,0.194585,1.228858
63,11.357135,1.951853,5.987016,0.246440,0.124122,0.204381,8.095272,0.197338,0.065350,0.922234,0.161012,0.323152,0.212063,0.173874,0.091009,0.222572,1.180253
64,11.484949,1.814400,5.932158,0.248608,0.123357,0.206763,9.143597,0.196688,0.065059,0.850731,0.187867,0.340947,0.203555,0.216938,0.053900,0.194800,1.237334
65,11.310781,1.949260,5.905281,0.242057,0.120742,0.200827,8.283892,0.190591,0.066910,0.895020,0.173319,0.371733,0.221386,0.165319,0.071740,0.226628,1.184424
66,11.492323,1.979584,5.840974,0.246247,0.122395,0.204735,8.970631,0.187620,0.067121,0.884038,0.173506,0.328060,0.190187,0.204864,0.076218,0.182429,1.236321
67,11.158329,1.838731,5.857922,0.237915,0.120156,0.199060,8.326498,0.190719,0.068435,1.031789,0.177075,0.322750,0.188640,0.217589,0.073216,0.236802,1.188932
68,11.390431,1.944246,5.838161,0.243765,0.120832,0.200460,8.791912,0.189082,0.065915,0.986759,0.174477,0.329467,0.195742,0.203220,0.066190,0.182032,1.232827
