epoch,g_total,g_adv,g_recon,g_fm,g_tv,g_lap,g_ms,g_stats,g_texstats,g_localstats,d_loss,val_l1,val_edge,val_lap,val_stats,val_texstats,val_localstats,val_ssim,val_score
1,25.730640,0.876484,15.681772,0.352781,0.322455,0.611871,28.911324,0.966539,0.496835,0.388691,1.048856,0.643866,1.834813,1.907028,0.971787,2.085048,0.408564,0.014118,3.905010
2,16.228449,0.975999,9.136646,0.235841,0.379680,0.643170,17.864773,0.468949,0.283131,0.196978,1.284024,0.639239,1.717363,1.799530,0.946277,1.937559,0.404079,0.016634,3.777259
3,9.333977,0.306076,5.076203,0.093548,0.256712,0.436833,14.441828,0.165376,0.122370,0.078119,1.881136,0.634599,1.632484,1.715083,0.923949,1.821463,0.398708,0.018902,3.674636
4,9.402035,0.231169,5.135872,0.119147,0.245948,0.418294,14.632818,0.181412,0.119526,0.082155,1.910227,0.629408,1.565625,1.648673,0.907837,1.726810,0.393201,0.020747,3.590748
5,9.607508,0.363833,5.120749,0.144065,0.237020,0.401256,15.018494,0.179607,0.119059,0.081677,1.840670,0.622517,1.512581,1.600205,0.893015,1.650995,0.387121,0.021968,3.520325
6,9.504158,0.316838,5.072587,0.148290,0.236170,0.400022,14.994274,0.169241,0.120377,0.080217,1.813356,0.614121,1.469017,1.565951,0.877856,1.589460,0.380395,0.022819,3.459044
7,9.753475,0.402682,5.146087,0.193208,0.223835,0.378871,14.929263,0.181069,0.117826,0.083111,1.918360,0.603935,1.430434,1.541184,0.861681,1.535771,0.372740,0.023599,3.401302
8,9.675137,0.450080,5.102369,0.180255,0.218753,0.369561,14.833981,0.177509,0.117650,0.081804,1.830765,0.592065,1.395707,1.523841,0.845206,1.487743,0.364475,0.024338,3.346096
9,9.735382,0.465837,5.110315,0.201713,0.212898,0.360685,14.779215,0.178914,0.117094,0.082429,1.767443,0.578855,1.365913,1.508698,0.826712,1.442590,0.355527,0.024942,3.290925
10,9.589394,0.458110,5.123533,0.212988,0.196669,0.335958,13.927011,0.181531,0.114222,0.084805,1.774769,0.563742,1.330868,1.487327,0.805496,1.389597,0.345725,0.025587,3.226500
11,9.361919,0.493593,5.131046,0.199379,0.166452,0.291723,12.882124,0.190056,0.130941,0.087207,1.863440,0.545786,1.290566,1.456663,0.780610,1.326426,0.334450,0.026566,3.149157
12,8.779625,0.354367,5.058597,0.192428,0.145043,0.260288,11.106142,0.181753,0.134777,0.086919,1.811802,0.525147,1.241615,1.419203,0.750954,1.251254,0.321592,0.028227,3.057289
13,8.532079,0.364973,4.937720,0.197253,0.122783,0.227488,10.559753,0.184180,0.139827,0.087072,1.732635,0.502214,1.187859,1.374223,0.717349,1.167905,0.307322,0.030387,2.954120
14,8.615484,0.324503,4.972182,0.211596,0.118595,0.222834,10.847348,0.191968,0.140443,0.090294,1.724884,0.478974,1.131448,1.320532,0.681791,1.081543,0.292607,0.032910,2.845636
15,8.659105,0.389392,4.966719,0.217024,0.115464,0.215259,10.891951,0.186597,0.131672,0.087557,1.772262,0.454953,1.073217,1.259124,0.644012,0.994152,0.277249,0.037287,2.730867
16,8.552537,0.429159,4.967090,0.216924,0.108985,0.205615,10.058497,0.187667,0.131104,0.088823,1.728852,0.429112,1.012344,1.188514,0.598883,0.903107,0.260036,0.042146,2.605559
17,8.578818,0.367422,4.926002,0.218428,0.111245,0.209872,10.856206,0.188363,0.127315,0.086850,1.759978,0.402038,0.944451,1.110525,0.552004,0.805395,0.241362,0.047555,2.471278
18,8.471324,0.377450,4.944785,0.200878,0.106450,0.201357,10.430443,0.188971,0.126211,0.088252,1.764010,0.370913,0.869366,1.028841,0.497355,0.702203,0.219429,0.050872,2.325394
19,8.724832,0.436734,4.982639,0.200276,0.109343,0.203455,11.450427,0.194861,0.119438,0.088180,1.841417,0.352431,0.808533,0.959632,0.463807,0.621012,0.206662,0.056352,2.219204
20,8.718369,0.474885,4.990373,0.220299,0.105727,0.200079,10.716005,0.194658,0.123914,0.089148,1.676204,0.328361,0.737810,0.888603,0.422033,0.534372,0.189747,0.061839,2.097036
21,8.634998,0.481988,4.963019,0.214597,0.105585,0.199121,10.517451,0.193692,0.115155,0.086854,1.752335,0.311872,0.674548,0.825255,0.392563,0.459243,0.178409,0.058422,2.007866
22,8.504101,0.419580,4.960526,0.207499,0.105914,0.198345,10.286830,0.189355,0.113559,0.086554,1.784077,0.291306,0.618263,0.768471,0.351065,0.392665,0.163069,0.077337,1.890952
