epoch,g_total,g_adv,g_recon,g_fm,g_tv,g_lap,g_ms,g_stats,g_texstats,g_localstats,d_loss,val_l1,val_edge,val_lap,val_stats,val_texstats,val_localstats,val_ssim,val_score
1,18.908394,0.228557,11.378339,0.176147,0.591754,0.998997,13.734667,0.410581,0.671713,0.183864,2.016440,0.751431,1.866386,2.315904,1.168335,2.387155,0.505653,0.012666,4.378648
2,11.254862,0.223415,5.967542,0.124880,0.298950,0.499148,12.280373,0.165782,0.122575,0.080097,1.908261,0.725870,1.792233,2.308270,1.136173,2.306260,0.488735,0.013780,4.278401
3,11.389181,0.328171,5.985156,0.150576,0.289071,0.482855,12.264735,0.175172,0.115361,0.082461,1.852841,0.699357,1.745577,2.295262,1.103239,2.240761,0.470836,0.015039,4.186422
4,11.403458,0.380831,5.920252,0.157127,0.289181,0.483963,12.295245,0.173202,0.125002,0.080431,1.681849,0.670912,1.717934,2.266144,1.066929,2.175714,0.451406,0.016893,4.089580
5,11.343936,0.346197,5.950203,0.167124,0.279893,0.468805,12.158998,0.177878,0.114248,0.082570,1.817086,0.639285,1.698692,2.220405,1.025981,2.105852,0.429464,0.019254,3.981432
6,11.319693,0.485842,5.932149,0.163213,0.275442,0.461353,11.758454,0.172354,0.113600,0.081582,1.649167,0.606832,1.678739,2.165010,0.982547,2.032608,0.406386,0.022305,3.866459
7,11.237833,0.492520,5.853387,0.139568,0.271395,0.454698,11.890976,0.170163,0.114289,0.079895,1.709192,0.576612,1.656417,2.115580,0.940490,1.964023,0.383934,0.025045,3.757904
8,11.172958,0.421673,5.915800,0.156028,0.262457,0.440228,11.677340,0.178116,0.110345,0.082516,1.810895,0.549124,1.631911,2.075158,0.900587,1.902644,0.362462,0.027601,3.658469
9,10.494975,0.351698,5.771753,0.166688,0.217018,0.370530,10.416564,0.178453,0.125444,0.080916,1.827345,0.524414,1.601155,2.035346,0.862002,1.840002,0.342440,0.030211,3.561701
10,10.357948,0.378245,5.770412,0.181442,0.182723,0.317821,10.045342,0.185703,0.129939,0.083625,1.840675,0.501900,1.563328,1.991958,0.826422,1.773611,0.323931,0.032980,3.465621
11,10.306643,0.392756,5.789963,0.207562,0.178851,0.310278,9.674952,0.187221,0.126574,0.084311,1.723162,0.480751,1.513312,1.941752,0.789931,1.697523,0.306782,0.036058,3.363258
12,10.463675,0.405038,5.783774,0.205887,0.172831,0.301276,10.239845,0.190440,0.122211,0.084077,1.753597,0.458986,1.449561,1.876816,0.749378,1.604580,0.289635,0.039498,3.245362
