epoch,g_total,g_adv,g_recon,g_fm,d_loss,val_l1,val_edge,val_ssim,val_score
1,22.785744,0.797184,20.633911,0.338663,1.224541,0.459058,1.015224,0.027820,1.786566
2,12.921776,0.726393,11.364899,0.207621,1.478201,0.272042,0.665748,0.044697,1.460357
3,9.721477,0.922632,7.973790,0.206264,1.157343,0.231469,0.494798,0.065244,1.339404
4,8.757135,1.171680,6.707950,0.219377,0.972402,0.219310,0.405166,0.085188,1.275930
5,8.344811,1.408688,6.021126,0.228749,0.750092,0.209238,0.361407,0.097224,1.238506
6,8.220257,1.558742,5.745522,0.228998,0.873657,0.200471,0.351565,0.122222,1.201297
7,8.461302,1.788321,5.681224,0.247939,0.632653,0.209935,0.352459,0.149029,1.184266
8,8.340305,1.774375,5.627872,0.234515,0.747511,0.194963,0.333955,0.139299,1.172549
9,8.160315,1.761464,5.510643,0.222052,0.611005,0.202826,0.331495,0.130927,1.187922
10,8.114853,1.569689,5.615130,0.232509,0.937110,0.194601,0.324899,0.093042,1.215274
11,7.907363,1.478854,5.552095,0.219103,0.918102,0.198402,0.324275,0.083860,1.228038
12,7.801687,1.457997,5.505634,0.209514,1.070301,0.190243,0.320118,0.097372,1.204912
13,8.347245,1.706826,5.754246,0.221543,0.834685,0.223553,0.331109,0.101996,1.237445
14,7.921049,1.515675,5.502403,0.225743,0.957337,0.195105,0.344893,0.125069,1.190749
15,8.020858,1.752529,5.351858,0.229118,0.985571,0.208372,0.346792,0.116134,1.213615
16,8.455730,2.054669,5.413776,0.246821,0.723179,0.185901,0.318849,0.138125,1.159373
17,8.222372,1.964348,5.318135,0.234972,0.806637,0.198293,0.324415,0.093092,1.218747
18,8.283257,1.963650,5.332012,0.246899,0.542258,0.194537,0.330379,0.137200,1.172969
19,8.320921,1.943997,5.369592,0.251833,0.674825,0.196843,0.353170,0.121856,1.198596
20,8.126576,1.747518,5.364170,0.253722,0.662977,0.264079,0.479748,0.090988,1.341003
21,8.015003,1.733292,5.346920,0.233698,0.879257,0.192332,0.328076,0.138173,1.168985
22,8.331615,1.926581,5.396192,0.252211,0.687632,0.197036,0.330466,0.137084,1.175616
23,8.342954,1.914513,5.414627,0.253453,0.780504,0.190772,0.332007,0.117509,1.189465
24,8.052446,1.664652,5.419685,0.242027,0.790789,0.205396,0.328676,0.148227,1.172206
25,8.211658,1.845515,5.374130,0.248004,0.923941,0.192815,0.325501,0.127526,1.179215
26,7.990557,1.673758,5.314927,0.250468,0.709584,0.270135,0.350071,0.110852,1.281807
27,8.135063,1.675255,5.485518,0.243573,1.015366,0.192017,0.333886,0.110916,1.197962
28,7.909050,1.596616,5.361965,0.237617,0.897220,0.216936,0.331230,0.149107,1.183759
29,7.849775,1.559094,5.346077,0.236151,0.802404,0.197966,0.347479,0.106021,1.213563
30,8.119628,1.614624,5.526609,0.244599,0.852186,0.218266,0.340839,0.098997,1.238563
31,7.918514,1.598240,5.365363,0.238728,0.898563,0.192061,0.336920,0.134007,1.175976
32,7.582400,1.315352,5.360226,0.226706,1.091389,0.216631,0.335795,0.156372,1.177788
33,7.834968,1.578412,5.343024,0.228383,0.874781,0.194883,0.344270,0.116128,1.199249
34,8.131012,1.663815,5.501462,0.241434,0.752043,0.207681,0.336029,0.119013,1.206278
35,8.082346,1.726744,5.390655,0.241237,0.723331,0.189579,0.339505,0.111719,1.196687
36,7.934429,1.522516,5.467906,0.236002,0.843393,0.184644,0.334693,0.141765,1.160022
37,8.027990,1.618232,5.457873,0.237971,0.932035,0.199275,0.337821,0.134561,1.182951
38,7.635010,1.358167,5.401581,0.218815,0.945840,0.184435,0.341987,0.165381,1.138750
39,7.707434,1.390148,5.458405,0.214720,1.049653,0.195595,0.343604,0.147021,1.168835
40,7.514801,1.273029,5.407376,0.208599,0.911590,0.185378,0.346155,0.139038,1.167495
41,7.705023,1.447656,5.373095,0.221068,0.884946,0.197785,0.400470,0.121077,1.216873
42,8.059942,1.598849,5.569282,0.222953,1.027808,0.195856,0.342341,0.168331,1.147344
