epoch,g_total,g_adv,g_recon,g_fm,d_loss,val_l1,val_edge,val_ssim,val_score
1,16.819740,0.661525,14.896782,0.315358,1.321038,0.457341,0.621346,0.071876,1.602937
2,13.851997,1.390913,11.250442,0.302661,1.110258,0.262470,0.644846,0.054233,1.433933
3,9.845559,0.820758,8.162901,0.215475,1.476406,0.208456,0.495667,0.089757,1.292182
4,8.253788,0.833321,6.613885,0.201645,1.172329,0.190057,0.417247,0.117447,1.218647
5,7.763803,0.901939,6.124060,0.184451,1.168006,0.192443,0.358485,0.184786,1.133127
6,7.576691,0.914402,5.918032,0.186064,1.357282,0.179431,0.345983,0.141748,1.158777
7,6.788520,0.612127,5.509679,0.166678,1.599538,0.188664,0.333288,0.145775,1.159540
8,7.341524,1.027416,5.492802,0.205327,1.376186,0.172936,0.338705,0.198653,1.092830
9,8.100571,1.459427,5.725036,0.229027,0.992308,0.175760,0.321738,0.187007,1.101361
10,7.421095,1.184805,5.349256,0.221759,1.124891,0.182398,0.313370,0.188700,1.103378
11,8.050802,1.721765,5.372056,0.239245,0.868562,0.169748,0.320291,0.193127,1.088724
12,7.910688,1.685945,5.277878,0.236716,0.963490,0.151856,0.313306,0.234205,1.027307
13,7.968198,1.830494,5.200927,0.234194,0.883410,0.159825,0.317132,0.198657,1.072164
14,7.881961,1.641279,5.264787,0.243974,0.909957,0.164829,0.313513,0.218531,1.056028
15,8.274403,2.146230,5.155963,0.243053,0.498642,0.165408,0.333853,0.172952,1.109305
16,8.010429,1.907107,5.158097,0.236306,0.634817,0.163539,0.312361,0.238989,1.033876
17,7.952974,1.782514,5.207175,0.240821,0.786596,0.157169,0.312089,0.240909,1.025491
18,7.339080,1.256849,5.199121,0.220777,1.017414,0.182590,0.319424,0.171257,1.123132
19,7.938972,1.725009,5.216681,0.249320,0.623142,0.171425,0.317199,0.186185,1.096260
20,7.598247,1.560789,5.111358,0.231525,1.077466,0.177919,0.314194,0.185949,1.101939
21,7.987757,1.799111,5.165411,0.255809,0.437780,0.183478,0.321632,0.214431,1.081618
22,7.774928,1.560611,5.199174,0.253786,0.465897,0.176354,0.312791,0.192457,1.093374
23,8.095579,1.689171,5.374587,0.257955,0.000496,0.176196,0.314304,0.203683,1.082520
24,8.050819,1.790977,5.246218,0.253406,0.000159,0.168585,0.312843,0.220104,1.057976
25,8.258964,2.031300,5.226046,0.250405,0.165303,0.167276,0.313154,0.168124,1.108756
26,8.822265,2.580796,5.178382,0.265772,0.000337,0.173516,0.313898,0.177725,1.105656
