epoch,g_total,g_adv,g_recon,g_fm,g_tv,d_loss,val_l1,val_edge,val_ssim,val_score
1,22.398933,0.853365,19.925499,0.368640,1.818837,1.029782,0.552275,1.040492,0.020090,1.896357
2,13.205982,0.893285,11.415760,0.209143,0.754569,1.502318,0.278198,0.692302,0.042613,1.477890
3,9.551230,0.972196,7.702608,0.208686,0.521046,1.134592,0.233898,0.516073,0.060050,1.354474
4,8.582491,1.186957,6.487881,0.218625,0.414408,1.083347,0.221040,0.420973,0.082807,1.285574
5,8.236563,1.528593,5.753304,0.231924,0.337108,0.760987,0.214266,0.381732,0.106923,1.240949
6,7.947338,1.524304,5.492963,0.226648,0.293462,0.827048,0.206928,0.370701,0.128290,1.208384
7,8.153376,1.735791,5.441681,0.238857,0.255956,0.524053,0.227639,0.359674,0.123904,1.229621
8,8.107496,1.928125,5.191898,0.242248,0.230990,0.642576,0.187950,0.325645,0.119279,1.182647
9,7.432725,1.570120,4.984879,0.215244,0.209385,0.917354,0.218433,0.328067,0.135587,1.197670
10,7.874234,1.705326,5.162992,0.247416,0.203138,0.817318,0.231791,0.327571,0.075905,1.270536
11,7.894678,1.838169,5.140064,0.224913,0.209887,0.957601,0.186775,0.318889,0.088920,1.209466
12,7.801641,1.790838,5.073016,0.230757,0.184460,0.753174,0.201068,0.328161,0.116029,1.199895
13,7.920074,1.846437,5.088573,0.242559,0.185326,0.713898,0.200438,0.338983,0.149750,1.169332
14,7.536843,1.601084,5.032353,0.222471,0.169008,0.894387,0.209837,0.330142,0.081811,1.243576
15,7.957726,1.961686,5.045013,0.234284,0.173624,0.976338,0.202367,0.329134,0.136085,1.181479
16,8.060079,1.885731,5.176732,0.245998,0.170289,1.045888,0.193953,0.325703,0.104691,1.203258
17,7.335186,1.315035,5.099442,0.227170,0.150352,1.189250,0.212279,0.325889,0.143980,1.182360
18,8.215570,1.873073,5.271826,0.264535,0.156643,0.679660,0.192960,0.324162,0.127817,1.178600
19,7.071490,1.154157,5.038797,0.216675,0.147933,1.250502,0.221405,0.325405,0.078192,1.257104
20,6.888619,0.980919,5.073942,0.205543,0.144828,1.458243,0.202754,0.322182,0.150035,1.165483
21,7.142259,1.313296,4.943424,0.218616,0.138417,1.217807,0.192585,0.326186,0.117373,1.189377
22,7.236854,1.223938,5.098277,0.226020,0.132006,1.300593,0.209036,0.323072,0.159271,1.162840
23,7.319544,1.373566,5.012662,0.230657,0.133598,1.148856,0.212825,0.330242,0.147386,1.181023
24,7.604559,1.498774,5.112601,0.245582,0.135672,1.275051,0.221471,0.325768,0.159439,1.176050
25,7.252608,1.311809,5.001661,0.232231,0.127690,1.197184,0.184595,0.324490,0.147816,1.150350
26,7.548100,1.598012,4.955441,0.245882,0.138970,1.045422,0.194496,0.350543,0.125715,1.191471
27,7.808482,1.789963,5.020320,0.246730,0.141002,0.976892,0.186593,0.333054,0.167692,1.135470
28,8.170563,2.014914,5.103349,0.260137,0.146900,0.845447,0.190592,0.344641,0.148930,1.162286
29,8.339502,2.076102,5.153229,0.274053,0.174487,0.614225,0.190570,0.347043,0.111733,1.200302
30,7.576638,1.488549,5.138917,0.234673,0.130997,1.109488,0.191828,0.343720,0.170209,1.141920
31,7.520962,1.480585,5.117192,0.228218,0.128908,1.134967,0.212448,0.364970,0.121439,1.218749
32,7.893253,1.787266,5.091508,0.250967,0.132620,0.878096,0.193580,0.335468,0.154043,1.156951
33,7.839409,1.680076,5.170190,0.244743,0.127150,0.966352,0.182494,0.344971,0.145628,1.157606
34,7.509742,1.387455,5.177171,0.233827,0.122597,1.329508,0.184388,0.340625,0.141315,1.162292
35,7.553678,1.548621,5.036996,0.239602,0.120638,0.959240,0.185778,0.343986,0.144063,1.162110
36,7.530490,1.579452,4.981712,0.239894,0.121854,1.141145,0.178226,0.345416,0.170050,1.129072
37,7.531157,1.457067,5.127699,0.234108,0.124464,1.040984,0.181388,0.339019,0.156174,1.143870
38,7.713821,1.747087,4.999971,0.239220,0.123515,0.890647,0.180479,0.348517,0.154192,1.148268
39,8.074732,1.986119,5.057391,0.255217,0.129425,1.002498,0.203387,0.337643,0.142287,1.179276
40,7.336039,1.361297,5.054131,0.227715,0.121887,1.132108,0.184320,0.342025,0.185671,1.118357
41,7.129372,1.107701,5.144718,0.216830,0.120404,1.302911,0.189967,0.344658,0.164768,1.145830
42,7.186399,1.208268,5.090939,0.219426,0.118588,1.129589,0.177269,0.342011,0.188214,1.108759
43,7.246589,1.313497,5.051925,0.217922,0.118517,1.160211,0.187684,0.352539,0.142688,1.168385
44,7.308915,1.331242,5.076373,0.222981,0.117193,1.209207,0.189907,0.363330,0.146052,1.171020
45,7.199446,1.143771,5.169244,0.219175,0.121617,1.202674,0.183922,0.342913,0.165057,1.138884
