epoch,g_total,g_adv,g_recon,g_fm,g_tv,d_loss,val_l1,val_edge,val_ssim,val_score
1,17.385139,0.623640,16.182301,0.310618,0.453092,1.346780,0.405542,0.844588,0.038694,1.662454
2,12.500551,0.798524,11.185044,0.238883,0.634634,1.449695,0.251123,0.599459,0.071351,1.389583
3,9.703186,1.014390,8.229282,0.225696,0.483877,1.276121,0.212543,0.474948,0.144276,1.234499
4,8.803407,1.061134,7.296438,0.230972,0.397503,1.166977,0.198695,0.433167,0.163326,1.186977
5,8.620348,1.206809,6.980253,0.229671,0.355117,1.161590,0.308204,0.377248,0.067194,1.373046
6,8.238403,1.279836,6.532371,0.233670,0.302767,1.014759,0.179384,0.339481,0.182484,1.115718
7,7.965921,1.344156,6.215171,0.223210,0.287118,1.239656,0.189428,0.326941,0.216351,1.087507
8,7.935647,1.408242,6.094533,0.246668,0.251474,1.095595,0.177105,0.328577,0.193425,1.098682
9,7.615782,1.332562,5.870927,0.234056,0.244833,1.140954,0.179344,0.329749,0.123285,1.171470
10,7.647961,1.479459,5.743295,0.244734,0.232423,1.025904,0.175078,0.312985,0.197296,1.087327
11,7.709791,1.629155,5.639682,0.259444,0.207154,0.798037,0.172832,0.314540,0.224050,1.058871
12,8.190643,2.034000,5.716769,0.260785,0.194791,0.505032,0.161377,0.314700,0.192797,1.078726
13,8.055479,1.984060,5.643324,0.256845,0.171310,0.831794,0.160696,0.315986,0.229798,1.041493
14,8.520241,2.379975,5.692356,0.268484,0.180733,0.744110,0.159359,0.316191,0.216776,1.053250
15,8.037263,1.935255,5.654472,0.270705,0.165916,0.831702,0.174248,0.326421,0.097019,1.191477
16,8.424931,2.185668,5.777600,0.282022,0.154511,0.814781,0.167371,0.322439,0.198545,1.081680
17,8.126654,1.997203,5.682132,0.272731,0.152885,0.973125,0.171764,0.325160,0.155121,1.130449
18,8.429361,2.208661,5.743381,0.288957,0.175531,0.495279,0.182903,0.328916,0.169548,1.128476
19,8.060637,1.969090,5.652687,0.267316,0.151546,0.923390,0.168504,0.328612,0.149131,1.134387
20,8.049171,1.971033,5.643126,0.265739,0.145619,0.790275,0.164911,0.321610,0.229896,1.047579
21,8.568726,2.406535,5.710966,0.276437,0.146276,0.798958,0.164828,0.320265,0.194626,1.082295
22,8.072809,1.996752,5.638064,0.269505,0.134939,0.831558,0.167048,0.332077,0.191358,1.091917
23,8.056126,1.873670,5.744153,0.269648,0.135319,1.021099,0.174258,0.334012,0.178840,1.112323
24,8.116722,2.043690,5.632412,0.269798,0.143690,0.955233,0.159035,0.325444,0.231173,1.041768
25,7.737898,1.648978,5.676857,0.253426,0.127692,0.969958,0.166654,0.340952,0.254699,1.031289
26,8.006988,1.882174,5.685586,0.271265,0.129322,1.014454,0.163536,0.332402,0.212165,1.067712
27,7.950790,1.852276,5.687585,0.253455,0.122989,1.062051,0.168997,0.341395,0.234983,1.053503
28,7.694017,1.583963,5.691343,0.257948,0.127154,1.089877,0.216455,0.381868,0.173048,1.177061
29,8.429995,2.274058,5.704324,0.280044,0.126184,0.910675,0.168582,0.320941,0.197039,1.083872
