epoch,g_total,g_adv,g_recon,g_fm,g_tv,g_lap,g_ms,d_loss,val_l1,val_edge,val_ssim,val_score
1,24.626055,0.745858,17.894287,0.351457,0.917518,1.590030,4.698941,1.205621,0.604810,0.672202,0.054454,1.785627
2,16.642525,0.802651,11.452572,0.253726,0.732141,1.190228,3.346910,1.506481,0.288771,0.676827,0.045103,1.480557
3,12.466230,0.673736,7.827586,0.209895,0.512402,0.833826,4.524137,1.381264,0.257168,0.564812,0.057591,1.397261
4,11.968032,1.051990,6.755137,0.238936,0.415148,0.679325,5.569034,1.114897,0.241052,0.444208,0.092874,1.303651
5,11.839392,1.353254,6.301840,0.237404,0.359557,0.590523,6.122785,0.914625,0.225905,0.427277,0.091533,1.283919
6,11.402766,1.264096,6.087739,0.233699,0.327158,0.543391,6.033885,0.976005,0.230732,0.396901,0.070039,1.299608
7,10.710058,0.979461,5.796755,0.217123,0.285957,0.478513,6.231853,1.157356,0.233826,0.353321,0.084399,1.273089
8,11.041031,1.425586,5.601721,0.227880,0.258357,0.435752,6.563373,0.960817,0.208291,0.343916,0.093642,1.235020
9,11.012333,1.460476,5.486938,0.233750,0.230155,0.392308,6.872437,0.888761,0.226600,0.349191,0.124586,1.224231
10,11.169204,1.535900,5.387926,0.232610,0.225503,0.386293,7.433060,0.849094,0.216066,0.334569,0.090139,1.243026
11,10.848692,1.323339,5.314225,0.216338,0.210689,0.365373,7.632142,1.003799,0.225263,0.344177,0.094543,1.251182
12,10.900068,1.542349,5.259753,0.223617,0.196798,0.342770,7.345057,1.046764,0.228267,0.322640,0.089493,1.251699
13,10.964254,1.580643,5.226789,0.228782,0.187805,0.328860,7.527770,1.043315,0.210064,0.332030,0.098741,1.227534
14,10.855082,1.541015,5.136315,0.235554,0.177978,0.313706,7.590357,1.016536,0.209250,0.320275,0.099313,1.222033
15,10.447992,1.024153,5.129107,0.223524,0.174120,0.306421,8.100419,1.253353,0.203212,0.325052,0.098329,1.218651
16,10.767939,1.223724,5.140841,0.224700,0.166779,0.293285,8.466629,1.216366,0.193309,0.322648,0.126428,1.179807
17,10.646597,1.244629,5.198966,0.225719,0.169489,0.296520,7.865231,1.122962,0.215655,0.324213,0.114797,1.214333
18,10.983712,1.549614,5.197004,0.232480,0.171356,0.301257,7.860577,0.909168,0.201103,0.335832,0.112974,1.205671
19,10.801788,1.356960,5.228330,0.232592,0.158961,0.277493,7.925506,1.233607,0.202197,0.334185,0.117801,1.201361
20,10.827121,1.339808,5.216557,0.230095,0.158414,0.274448,8.124847,1.102718,0.203134,0.335345,0.112108,1.208397
21,11.095140,1.613766,5.213013,0.232617,0.165714,0.284406,8.036304,0.840829,0.207556,0.338747,0.102116,1.224001
22,11.137868,1.655656,5.226966,0.232165,0.159450,0.275459,8.051437,0.955836,0.230035,0.338362,0.127935,1.220526
23,11.024779,1.627236,5.214076,0.236755,0.150342,0.260656,7.872112,0.892868,0.230167,0.335344,0.119861,1.227677
24,10.832552,1.344287,5.245161,0.229774,0.143877,0.248549,8.186024,1.235204,0.188377,0.334665,0.147628,1.157881
25,10.812401,1.273717,5.217083,0.230727,0.141100,0.242682,8.430216,1.020955,0.194938,0.342860,0.139879,1.175060
26,11.070894,1.405403,5.223473,0.231137,0.140633,0.242778,8.769201,1.300735,0.191951,0.340884,0.118475,1.192786
27,11.046758,1.417796,5.209252,0.235079,0.140812,0.240106,8.674104,1.191135,0.200741,0.351543,0.118000,1.205782
28,11.049831,1.505468,5.298316,0.237750,0.141446,0.241514,8.140028,1.167413,0.212428,0.335674,0.126426,1.203489
29,11.280809,1.618097,5.179118,0.233451,0.142318,0.241341,8.868547,1.035374,0.216559,0.365453,0.118938,1.225530
30,11.179033,1.533464,5.318062,0.240617,0.141754,0.235704,8.369811,1.095816,0.210836,0.357734,0.118596,1.217446
31,10.731394,1.158060,5.231600,0.222335,0.135623,0.232518,8.637182,1.395413,0.200057,0.350583,0.095727,1.227034
32,11.230078,1.564700,5.204198,0.234507,0.141597,0.238516,8.807130,0.895065,0.237332,0.344931,0.127748,1.230310
33,11.109344,1.480077,5.260856,0.232279,0.140760,0.235086,8.585367,1.157653,0.192195,0.355226,0.147800,1.168724
34,11.034420,1.362330,5.259333,0.236818,0.138258,0.229862,8.687641,1.265307,0.219337,0.383564,0.133065,1.220519
35,11.216961,1.382883,5.332001,0.239246,0.144195,0.239227,8.865564,1.469112,0.212951,0.358325,0.117132,1.221232
36,10.811126,1.152317,5.291941,0.231618,0.131156,0.223191,8.651896,1.554271,0.203815,0.368040,0.110640,1.221989
37,10.643452,0.999545,5.243303,0.225855,0.132348,0.220463,8.827888,1.501766,0.195143,0.368296,0.127210,1.196838
38,10.622783,0.988994,5.399256,0.227610,0.131760,0.219090,8.340540,1.506168,0.195864,0.356584,0.119562,1.201107
39,10.801519,1.150723,5.265699,0.226052,0.133112,0.218760,8.789913,1.337341,0.205638,0.345270,0.122532,1.203951
40,10.920191,1.147275,5.267813,0.240924,0.128558,0.215602,8.980110,1.467896,0.228309,0.399433,0.109084,1.259027
41,10.808794,0.976095,5.353888,0.226802,0.126434,0.211765,9.086603,1.659057,0.202361,0.370111,0.126220,1.205680
42,10.602307,1.024718,5.311854,0.233020,0.125581,0.211454,8.408552,1.324712,0.202373,0.369241,0.096908,1.234699
43,10.949136,1.118222,5.344605,0.230513,0.128999,0.214489,9.051020,1.604282,0.214509,0.347790,0.129640,1.206595
44,10.401308,0.851006,5.330043,0.220274,0.121741,0.206596,8.450148,1.640138,0.213911,0.360278,0.138491,1.201517
45,10.234039,0.795957,5.241101,0.212202,0.120550,0.205328,8.482684,1.404593,0.185560,0.337755,0.139677,1.164097
46,10.470394,0.899651,5.291451,0.222496,0.125665,0.209273,8.578760,1.577437,0.216845,0.369833,0.123062,1.223224
47,10.649300,0.908387,5.350696,0.230802,0.125896,0.207665,8.808975,1.550531,0.202768,0.340570,0.129238,1.192730
48,10.543266,0.872253,5.378019,0.237685,0.121507,0.204693,8.468816,1.475995,0.195038,0.338897,0.148172,1.165480
49,10.674971,0.958395,5.225976,0.234136,0.119210,0.203652,9.079843,1.618905,0.204001,0.379946,0.121966,1.215016
50,10.771782,0.887063,5.356821,0.237311,0.128828,0.211309,9.108544,1.540629,0.197056,0.366829,0.115314,1.210132
51,10.376929,0.881843,5.313315,0.234209,0.122247,0.206619,8.180687,1.477838,0.226237,0.351309,0.133667,1.215528
52,10.558189,0.837747,5.244809,0.222121,0.125786,0.206419,9.158658,1.543406,0.196995,0.393962,0.140815,1.194067
53,10.324400,0.786191,5.282408,0.219463,0.124152,0.205882,8.564088,1.598250,0.215816,0.366344,0.137160,1.206877
54,10.652296,0.777058,5.330570,0.230293,0.125396,0.207274,9.258208,1.792341,0.192113,0.371651,0.131653,1.190538
55,10.422230,0.897498,5.219493,0.224189,0.121139,0.203176,8.665924,1.311228,0.232944,0.363457,0.117765,1.242389
56,10.404312,0.758855,5.405777,0.224260,0.125502,0.208189,8.451023,1.647737,0.207292,0.364891,0.101772,1.233232
57,10.655592,0.792619,5.251523,0.228111,0.125417,0.205798,9.481537,1.561829,0.225175,0.368602,0.134480,1.219706
58,10.199163,0.721741,5.247906,0.213883,0.121349,0.203692,8.564665,1.574959,0.189034,0.340862,0.156712,1.151624
59,10.399724,0.843330,5.212776,0.224400,0.121751,0.203593,8.770890,1.416942,0.196528,0.347800,0.149550,1.168708
60,10.530453,0.893773,5.341014,0.226797,0.121616,0.202637,8.611435,1.545054,0.208019,0.326187,0.123790,1.198394
61,10.791998,0.884157,5.232889,0.240737,0.124334,0.207740,9.508928,1.367332,0.204872,0.376876,0.141415,1.195364
62,10.418242,0.749626,5.338546,0.225699,0.122676,0.207931,8.694813,1.695673,0.195604,0.364806,0.128840,1.194446
63,10.317043,0.766384,5.223289,0.214404,0.122725,0.203180,8.840616,1.708645,0.192515,0.369221,0.119685,1.202057
64,10.641220,0.848746,5.131429,0.225651,0.121601,0.202796,9.667665,1.493153,0.210110,0.385783,0.131937,1.213198
65,10.340969,0.784497,5.397158,0.229283,0.124704,0.206376,8.173504,1.558403,0.199394,0.365982,0.128634,1.198855
66,10.491884,0.853489,5.294091,0.227234,0.124306,0.204820,8.733572,1.527740,0.209127,0.352579,0.120368,1.212161
67,10.450608,0.747525,5.225901,0.221577,0.120608,0.201457,9.196010,1.637365,0.198795,0.356023,0.130673,1.192730
68,10.294467,0.775782,5.237424,0.221154,0.121919,0.201233,8.641922,1.602730,0.219975,0.354963,0.121976,1.222236
69,10.389791,0.755486,5.254736,0.222127,0.122610,0.201419,8.910568,1.541174,0.205502,0.378892,0.095369,1.242746
70,10.407186,0.727215,5.314123,0.220589,0.123240,0.202757,8.881908,1.641362,0.179650,0.331821,0.163385,1.132402
71,10.100204,0.634852,5.203940,0.218057,0.119989,0.200270,8.625998,1.568953,0.204245,0.363147,0.131135,1.200212
72,10.173746,0.628237,5.227105,0.214273,0.122906,0.202758,8.818618,1.705067,0.225183,0.358751,0.134979,1.215767
73,10.226047,0.610429,5.131323,0.213725,0.120917,0.201020,9.308248,1.694502,0.219770,0.353859,0.110299,1.233322
74,10.138105,0.607367,5.175819,0.216661,0.118591,0.199376,8.914036,1.676427,0.204839,0.348132,0.104985,1.221699
75,10.098785,0.679082,5.171169,0.218187,0.121170,0.202239,8.577324,1.469063,0.210691,0.351488,0.118984,1.214728
76,10.101345,0.569640,5.087713,0.209214,0.122861,0.202815,9.234970,1.709128,0.191025,0.345694,0.174551,1.137466
77,9.961488,0.509189,5.264002,0.217351,0.121350,0.201875,8.416596,1.690591,0.198352,0.350319,0.155791,1.165173
78,9.834078,0.501850,5.117925,0.209636,0.120620,0.200952,8.583986,1.649931,0.212210,0.347247,0.152828,1.180919
79,10.040574,0.569945,5.197289,0.214311,0.120800,0.201266,8.697586,1.664976,0.200158,0.359312,0.136551,1.189366
80,10.029266,0.587371,5.284685,0.216840,0.121780,0.202296,8.331362,1.646413,0.198245,0.358013,0.152678,1.170872
81,9.994635,0.638135,5.185038,0.209794,0.124520,0.203996,8.443233,1.594577,0.181211,0.329242,0.200810,1.095636
82,9.993441,0.581584,5.172685,0.209224,0.122335,0.202660,8.650579,1.602218,0.193594,0.359987,0.153666,1.165923
83,9.947322,0.689715,5.188859,0.211471,0.121972,0.202171,8.140562,1.530836,0.203086,0.362551,0.171187,1.158792
84,10.079220,0.743939,5.241791,0.220418,0.122556,0.205054,8.094053,1.498447,0.194472,0.379444,0.168865,1.158413
