epoch,g_total,g_adv,g_recon,g_fm,g_tv,g_lap,g_ms,d_loss,val_l1,val_edge,val_ssim,val_score
1,20.386086,0.653804,15.961004,0.318455,0.447809,0.814452,6.533219,1.362710,0.398269,0.874805,0.051640,1.652810
2,15.421530,0.929631,11.246944,0.257510,0.621609,1.027918,3.871366,1.420410,0.245898,0.615979,0.068656,1.392834
3,12.203963,0.854787,8.242277,0.233078,0.468563,0.767571,4.962619,1.385996,0.218534,0.458473,0.111380,1.267620
4,11.450019,1.070662,7.174401,0.241053,0.382627,0.630332,6.007404,1.041531,0.201225,0.456177,0.170075,1.190812
5,10.883942,0.799329,6.873254,0.195158,0.349485,0.577801,6.548498,1.433160,0.193044,0.416502,0.120039,1.218781
6,11.199837,1.096644,6.664296,0.234752,0.319183,0.533200,7.357243,0.998737,0.200474,0.364576,0.148731,1.179345
7,11.088214,1.378027,6.390697,0.217235,0.286318,0.476751,7.356436,1.088922,0.203856,0.343678,0.170460,1.153683
8,10.809162,1.260134,6.417677,0.214141,0.259018,0.432073,6.990921,1.139199,0.184913,0.349978,0.131887,1.175519
9,10.490559,1.128242,6.247736,0.213858,0.225570,0.386514,7.192094,1.129912,0.189768,0.334987,0.138191,1.168822
10,10.473333,1.243480,6.024079,0.210549,0.209496,0.365603,7.630575,0.996153,0.197370,0.317701,0.184039,1.124526
11,10.601632,1.415671,6.017715,0.222823,0.195527,0.344180,7.562867,0.875200,0.179615,0.325145,0.163095,1.130320
12,10.435001,1.257528,5.931044,0.222041,0.179314,0.320414,7.959730,1.128850,0.172186,0.317679,0.177895,1.105478
13,10.434673,1.322006,5.818113,0.213664,0.167630,0.301067,8.268503,1.057556,0.186226,0.318013,0.145922,1.151609
14,10.594541,1.382333,5.828739,0.227871,0.162889,0.295793,8.524170,1.008705,0.200668,0.318191,0.114405,1.197629
15,10.503372,1.406712,5.740811,0.230793,0.153760,0.279135,8.508389,1.005976,0.163601,0.315444,0.161627,1.112379
16,10.417740,1.262932,5.750396,0.229271,0.147674,0.262894,8.764153,1.223621,0.165943,0.318880,0.182798,1.094753
17,10.328342,1.303503,5.753377,0.220843,0.140352,0.247404,8.446681,1.233031,0.186858,0.332536,0.071890,1.231355
