epoch,g_total,g_adv,g_recon,g_fm,g_tv,g_lap,g_ms,d_loss,val_l1,val_edge,val_lap,val_ssim,val_score
1,26.111944,0.659723,18.094030,0.329037,1.280498,2.271678,5.870899,1.344246,0.697646,0.494721,0.526332,0.075397,1.905410
2,17.783337,1.559690,12.561787,0.324170,0.459292,0.772057,5.484248,0.507064,0.338009,0.744174,1.017089,0.043754,1.799072
3,11.861755,0.392901,8.345369,0.127135,0.529207,0.860592,4.405216,1.715764,0.242468,0.524632,0.717437,0.060492,1.538005
4,10.347350,0.731079,6.638439,0.173090,0.401615,0.657296,5.793343,1.511954,0.225738,0.419480,0.587376,0.083547,1.431668
5,9.688103,0.782392,5.952876,0.190047,0.334337,0.552114,6.983932,1.502711,0.212020,0.372706,0.510892,0.106724,1.358649
6,9.690047,1.199195,5.476933,0.205192,0.290992,0.486571,8.145620,1.395744,0.196894,0.350531,0.457361,0.095357,1.331719
7,9.108822,0.806567,5.268226,0.218174,0.250771,0.425520,9.004901,1.415217,0.229966,0.333296,0.445880,0.128175,1.324507
8,9.372196,1.034041,5.236910,0.234514,0.232851,0.398115,9.568269,1.256489,0.197709,0.332112,0.380260,0.106748,1.290475
9,9.180252,1.094803,5.140131,0.228069,0.212863,0.365582,9.182177,1.407099,0.204991,0.328882,0.332319,0.138520,1.248559
10,9.159388,1.154342,5.202572,0.233812,0.196551,0.339034,8.543060,1.256667,0.201099,0.329308,0.316429,0.126925,1.250786
11,9.267350,1.314306,5.184864,0.238342,0.190913,0.330769,8.357216,1.153251,0.201250,0.330243,0.317927,0.111980,1.266593
12,9.453419,1.470773,5.222699,0.248673,0.186762,0.323820,8.207701,1.109224,0.205463,0.327207,0.297407,0.126494,1.248503
13,8.982012,1.269319,5.087903,0.238636,0.156669,0.280225,8.210944,1.262073,0.191414,0.319203,0.284103,0.134593,1.220098
14,9.843899,1.910305,5.089972,0.259251,0.179422,0.314070,8.711443,0.599366,0.203316,0.324934,0.305062,0.132356,1.242719
15,9.309854,1.471591,5.088533,0.241704,0.160464,0.281712,8.957968,1.024623,0.212637,0.323496,0.258756,0.141463,1.226437
16,9.339544,1.638225,5.086322,0.235528,0.147260,0.261621,8.507353,1.152360,0.196474,0.327791,0.284138,0.124476,1.237005
17,9.577247,1.863147,5.061527,0.249419,0.151592,0.268390,8.370888,0.761657,0.222073,0.322450,0.228067,0.134105,1.232281
18,9.045928,1.405360,5.021772,0.254790,0.126986,0.231894,8.627146,1.156159,0.204987,0.320989,0.216805,0.149285,1.195781
19,9.194572,1.465289,4.985907,0.263297,0.131591,0.236034,9.220364,1.387753,0.193921,0.324323,0.220929,0.134157,1.201954
20,8.713776,1.055834,4.978297,0.252518,0.116587,0.216040,9.333986,1.286014,0.234612,0.324324,0.207044,0.138558,1.233384
21,8.861115,1.046771,5.111771,0.265659,0.117451,0.214826,9.243246,1.807820,0.197483,0.324011,0.210127,0.129090,1.206740
22,8.689410,0.933018,5.040370,0.273281,0.110985,0.207373,9.301014,1.412411,0.196138,0.320628,0.203199,0.139359,1.192025
23,8.681759,0.926027,5.067846,0.282513,0.109072,0.204059,8.982227,1.460314,0.186447,0.321170,0.200816,0.140443,1.180524
24,8.664363,0.827915,5.066547,0.278274,0.108360,0.203012,9.630650,1.756074,0.188751,0.319730,0.194788,0.145979,1.174894
25,8.503360,0.765413,4.994651,0.271365,0.106665,0.200055,9.639118,1.640509,0.227831,0.326901,0.199176,0.147315,1.215608
26,8.588018,0.801399,5.091001,0.286410,0.108571,0.200940,9.005831,1.603174,0.186379,0.318433,0.194541,0.175578,1.142577
27,8.584467,0.829416,4.990760,0.279096,0.107609,0.198208,9.653846,1.612939,0.201081,0.337453,0.203303,0.132776,1.206951
28,8.659828,0.818274,5.131177,0.282776,0.111946,0.201576,9.166042,1.511590,0.218847,0.323923,0.193908,0.144965,1.206535
29,8.654725,0.754235,5.129243,0.285834,0.117134,0.207706,9.411584,1.662977,0.213636,0.339141,0.205720,0.125385,1.228081
30,8.478951,0.701231,5.015620,0.280175,0.103297,0.193354,9.696157,1.526904,0.190786,0.323923,0.189071,0.134747,1.186998
31,8.682921,0.811171,5.060942,0.285417,0.107074,0.194840,9.891527,1.608517,0.210554,0.342230,0.205288,0.109887,1.240963
32,8.553921,0.755380,4.995408,0.292479,0.108654,0.196689,9.669228,1.614614,0.228251,0.325324,0.187868,0.132657,1.226413
33,8.454351,0.624493,5.083272,0.286977,0.110546,0.198147,9.378569,1.616646,0.197984,0.330172,0.189051,0.134945,1.195242
34,8.804616,0.915646,5.056896,0.297338,0.111677,0.196523,9.767017,1.458452,0.209677,0.356279,0.207647,0.147401,1.206209
35,8.812666,0.848930,5.115594,0.286071,0.111093,0.196802,10.095141,1.672445,0.195569,0.339223,0.197677,0.145583,1.187018
36,8.808226,0.818214,5.125496,0.289824,0.113358,0.197908,10.111094,1.609428,0.190407,0.325522,0.188760,0.146510,1.175067
37,8.356689,0.631613,4.984620,0.258826,0.106371,0.192607,9.990184,1.694605,0.200469,0.342595,0.195307,0.156881,1.180465
38,8.678682,0.889274,5.094125,0.282668,0.113906,0.196791,9.143749,1.507256,0.204754,0.347646,0.198503,0.142605,1.201154
39,8.526605,0.691635,5.151319,0.282955,0.111633,0.196098,9.072018,1.595891,0.206247,0.338499,0.204485,0.145835,1.199681
40,8.799433,0.825230,5.150158,0.294454,0.112001,0.195943,9.780388,1.584641,0.186499,0.329723,0.190978,0.139278,1.180009
41,8.729279,0.828009,5.108291,0.286620,0.110720,0.193902,9.762877,1.509710,0.191663,0.344265,0.189447,0.099256,1.227566
42,8.829077,0.844877,5.209203,0.290084,0.117687,0.202312,9.437762,1.547952,0.186910,0.342202,0.197621,0.151189,1.173328
43,8.939837,0.880521,5.265954,0.296704,0.113327,0.195261,9.541494,1.728226,0.194028,0.336489,0.187608,0.157281,1.169707
44,8.513157,0.666241,5.145593,0.274640,0.107950,0.192151,9.420024,1.493501,0.196747,0.343732,0.195054,0.110847,1.222915
45,8.812729,0.941893,5.239804,0.284834,0.115702,0.197533,8.659864,1.352552,0.189982,0.330893,0.191542,0.132868,1.190333
46,9.000885,0.969232,5.224442,0.291682,0.118093,0.200130,9.655406,1.439962,0.197019,0.349645,0.208785,0.151094,1.188929
47,8.876844,0.838493,5.164142,0.291017,0.115354,0.199212,10.130581,1.608865,0.200566,0.350691,0.195613,0.144597,1.194573
48,8.656491,0.720571,5.216956,0.267385,0.112311,0.196773,9.607910,1.586041,0.220199,0.346406,0.193892,0.138940,1.218402
49,9.098145,0.901181,5.331047,0.306344,0.115087,0.198797,9.775459,1.623849,0.202209,0.337690,0.196061,0.105466,1.232902
50,8.674976,0.796071,5.170071,0.285020,0.110488,0.195797,9.203659,1.364745,0.192691,0.340609,0.201038,0.132059,1.199117
51,8.732533,0.827699,5.223615,0.279743,0.116784,0.200268,9.052292,1.461339,0.229934,0.347788,0.194862,0.137033,1.230660
52,8.927284,0.861205,5.234877,0.262619,0.123203,0.206439,10.294645,1.591088,0.207278,0.359661,0.193499,0.151695,1.195241
53,8.604963,0.806131,5.335525,0.242553,0.116362,0.199520,8.355412,1.639933,0.209146,0.333253,0.187510,0.135183,1.206242
54,8.624287,0.805676,5.176696,0.272183,0.113260,0.196976,8.994843,1.401235,0.212500,0.399187,0.229660,0.131685,1.241033
55,8.724058,0.754901,5.211301,0.269315,0.116918,0.200246,9.772097,1.591994,0.199950,0.368909,0.208100,0.139473,1.207094
56,8.629675,0.721830,5.224253,0.271842,0.115611,0.199922,9.231889,1.602612,0.205802,0.338813,0.189433,0.143823,1.196043
57,8.845267,0.866576,5.285466,0.266508,0.117178,0.199930,9.402348,1.610414,0.193832,0.345043,0.193901,0.175745,1.154961
58,8.704157,0.757355,5.223439,0.260583,0.117062,0.199302,9.731863,1.714918,0.185820,0.348519,0.197914,0.151495,1.173298
59,8.636850,0.713912,5.262580,0.265967,0.118318,0.204069,9.127602,1.576103,0.200456,0.347756,0.206982,0.150428,1.192022
60,8.755960,0.836048,5.270082,0.261750,0.123956,0.206852,9.096113,1.483155,0.225397,0.358566,0.201347,0.124037,1.243544
61,8.832560,0.743577,5.292885,0.274896,0.118243,0.200952,9.903845,1.700810,0.185604,0.341795,0.195930,0.160239,1.162300
62,8.779968,0.787410,5.352091,0.270575,0.116493,0.196454,9.025045,1.435098,0.227688,0.393521,0.211090,0.143326,1.236948
63,8.552931,0.675966,5.202076,0.255068,0.119112,0.199972,9.507852,1.733595,0.198324,0.340708,0.193283,0.141298,1.192817
64,8.547165,0.626225,5.207336,0.261515,0.113746,0.195802,9.704819,1.667025,0.183869,0.334479,0.187977,0.150332,1.166225
65,8.572618,0.742381,5.236047,0.256155,0.118039,0.198090,8.978449,1.495791,0.188260,0.345921,0.196490,0.167357,1.158858
66,8.663039,0.716170,5.218401,0.260926,0.117850,0.199708,9.752372,1.758803,0.185091,0.354185,0.196960,0.169376,1.155489
67,8.698166,0.738661,5.314829,0.264541,0.118533,0.199197,9.129494,1.647133,0.208784,0.354872,0.199300,0.148334,1.201179
68,8.450306,0.663844,5.161629,0.255022,0.116614,0.197309,9.218184,1.482466,0.187562,0.343006,0.198586,0.176680,1.148988
69,8.649879,0.702859,5.253161,0.256124,0.119777,0.200367,9.606758,1.659689,0.218739,0.353345,0.197977,0.144761,1.213939
70,8.601734,0.636387,5.214402,0.259651,0.118516,0.201410,9.900363,1.700226,0.183302,0.341403,0.198177,0.183551,1.137393
71,8.630739,0.667349,5.299167,0.261760,0.119292,0.200885,9.288271,1.579791,0.195358,0.354388,0.208425,0.156505,1.182680
72,8.422140,0.621659,5.140469,0.239773,0.118643,0.199369,9.724324,1.701708,0.213753,0.365104,0.201156,0.164900,1.192278
73,8.418518,0.615405,5.240949,0.247142,0.120033,0.199705,8.918964,1.667372,0.200689,0.344806,0.192635,0.185695,1.151377
74,8.426554,0.614383,5.242838,0.242328,0.117008,0.197056,9.106026,1.762684,0.201973,0.345800,0.192723,0.127555,1.211031
75,8.355110,0.654443,5.129166,0.231551,0.117029,0.196145,9.350592,1.632988,0.213181,0.370711,0.198544,0.186040,1.170774
76,8.393284,0.610007,5.151166,0.241498,0.116754,0.196094,9.556602,1.682203,0.211231,0.349905,0.192271,0.163540,1.184966
