epoch,g_total,g_adv,g_recon,g_fm,g_tv,g_lap,g_ms,d_loss,val_l1,val_edge,val_lap,val_ssim,val_score
1,20.311649,0.580076,15.981126,0.304910,0.458694,0.832240,6.433492,1.409543,0.386969,0.954412,1.136599,0.043876,1.931785
2,15.276319,0.944457,11.129406,0.251715,0.598750,0.992697,3.953829,1.325120,0.245147,0.629681,0.869569,0.070129,1.605303
3,12.162697,0.769442,8.354954,0.191600,0.482697,0.788800,4.823424,1.443124,0.232839,0.442229,0.607068,0.123222,1.410537
4,11.642828,1.034347,7.404245,0.243726,0.385024,0.632829,5.977154,1.353378,0.197693,0.455021,0.632685,0.141103,1.369034
5,11.400432,1.185592,6.969949,0.235508,0.350230,0.578743,6.453192,1.203469,0.188504,0.394826,0.543742,0.174901,1.282878
6,10.888199,0.865242,6.715839,0.234458,0.310801,0.516402,7.010427,1.327332,0.189318,0.364885,0.479200,0.174992,1.255023
7,10.983811,1.241545,6.584288,0.220753,0.287210,0.475256,6.807208,1.347422,0.189241,0.362063,0.435537,0.129778,1.284313
8,10.435064,1.041395,6.317669,0.220214,0.252350,0.424498,6.819486,1.423751,0.183729,0.337349,0.399637,0.124511,1.266561
9,10.176468,0.902941,6.134512,0.210012,0.220611,0.376061,7.349175,1.468071,0.173562,0.326134,0.369771,0.134154,1.234055
10,10.220091,1.087796,5.948408,0.230930,0.209942,0.364630,7.460204,1.168648,0.164918,0.315426,0.321324,0.174482,1.165984
11,10.483989,1.293615,5.932080,0.238258,0.191116,0.335260,7.834119,1.146517,0.168203,0.317237,0.311372,0.174486,1.166145
12,10.340361,1.229787,5.789643,0.241174,0.177759,0.312029,8.155619,1.085493,0.161460,0.314977,0.304823,0.206593,1.124550
13,10.536903,1.422979,5.696282,0.242195,0.165823,0.294101,8.572477,0.941120,0.165934,0.317386,0.280143,0.187956,1.139505
14,10.690805,1.476236,5.731936,0.233248,0.159547,0.285635,8.881407,1.241034,0.174505,0.321661,0.262078,0.163810,1.166754
15,10.539471,1.462310,5.796092,0.240265,0.161501,0.286113,8.170421,1.043898,0.187220,0.331115,0.286344,0.141965,1.211699
16,10.911350,1.654922,5.825103,0.250419,0.156848,0.274707,8.681413,1.009425,0.161604,0.318642,0.353474,0.160053,1.188995
17,10.737520,1.605240,5.816004,0.239572,0.146660,0.256980,8.449278,1.167580,0.170895,0.325346,0.284839,0.164785,1.170873
18,10.529761,1.382427,5.849966,0.241148,0.145352,0.255028,8.389224,1.242795,0.175704,0.322543,0.227413,0.152131,1.167676
19,10.599966,1.578221,5.816542,0.246698,0.135258,0.236111,8.157251,1.098490,0.164434,0.329440,0.253664,0.162549,1.156555
