epoch,g_total,g_adv,g_recon,g_fm,g_tv,g_lap,g_ms,g_stats,d_loss,val_l1,val_edge,val_lap,val_stats,val_ssim,val_score
1,26.789242,0.773888,17.934246,0.358550,1.202709,2.129132,5.761257,0.710908,1.180100,0.683201,0.521529,0.580411,0.607765,0.070973,2.255316
2,18.203548,1.277187,12.412104,0.311455,0.562559,0.926956,4.836149,0.437786,0.968153,0.289386,0.780257,1.058030,0.254041,0.037585,1.877686
3,12.112020,0.528440,8.099386,0.175565,0.517685,0.840979,4.489854,0.178673,1.564623,0.237025,0.520165,0.709597,0.166230,0.060981,1.592694
4,10.584522,0.825323,6.501369,0.207522,0.394555,0.646606,5.903151,0.132927,1.220139,0.220259,0.437039,0.630886,0.152975,0.069805,1.518913
5,10.246735,1.185138,5.807542,0.233500,0.328324,0.542432,7.107564,0.125524,1.130694,0.210563,0.376209,0.496622,0.149510,0.110481,1.414016
6,10.070508,1.405719,5.451354,0.234398,0.284732,0.474067,8.003834,0.116688,0.781962,0.206429,0.372140,0.469473,0.152330,0.109600,1.403497
7,10.039459,1.459758,5.490125,0.239283,0.256461,0.428631,7.740179,0.124494,0.981562,0.220860,0.348883,0.398046,0.152725,0.105355,1.396331
8,9.732956,1.409796,5.467347,0.232245,0.234527,0.392677,6.914495,0.123173,1.053353,0.216269,0.335157,0.359124,0.149175,0.073815,1.406728
9,9.153152,1.144426,5.302736,0.204798,0.200087,0.343741,7.249921,0.123661,1.186039,0.210336,0.326081,0.324441,0.150081,0.118719,1.344214
10,9.377256,1.366631,5.190063,0.225662,0.187804,0.324935,7.890308,0.124679,1.111046,0.246026,0.327442,0.305752,0.183953,0.114475,1.399137
11,9.414729,1.418057,5.118549,0.223884,0.177800,0.310801,8.551373,0.123220,0.978503,0.197968,0.334309,0.322602,0.148750,0.139494,1.311366
12,9.476883,1.463116,5.092839,0.230346,0.172867,0.303731,8.851494,0.120018,1.052930,0.216633,0.319578,0.284750,0.171210,0.104033,1.364666
13,9.828253,1.761316,5.069787,0.239044,0.163001,0.289292,9.345468,0.127862,0.744434,0.193111,0.330811,0.281437,0.138494,0.145592,1.281208
14,9.292398,1.411762,5.009101,0.223722,0.153646,0.276662,9.056295,0.123805,1.187425,0.197176,0.319252,0.262163,0.174086,0.121084,1.323044
15,9.697968,1.731468,5.020441,0.240437,0.155250,0.276403,9.196759,0.126576,0.855954,0.221290,0.325510,0.261961,0.170100,0.111468,1.355572
16,9.896275,1.850972,5.093311,0.252952,0.160692,0.280371,8.911592,0.127631,0.813956,0.199822,0.326672,0.247937,0.136220,0.110408,1.310861
17,9.438575,1.548117,5.062874,0.233632,0.145303,0.256604,8.871281,0.125562,1.063004,0.230188,0.328774,0.227818,0.171717,0.124631,1.342687
18,9.419853,1.528866,5.113592,0.242006,0.139563,0.247791,8.517560,0.124898,1.047887,0.196210,0.325396,0.245264,0.167023,0.127615,1.307467
19,9.403772,1.602515,5.031248,0.238360,0.139037,0.244822,8.645359,0.118845,1.135401,0.189449,0.325978,0.231391,0.158303,0.123191,1.295853
20,9.431699,1.546623,5.089974,0.234664,0.133029,0.235344,8.976733,0.125559,0.914330,0.203741,0.330048,0.226350,0.145688,0.120684,1.304385
21,9.488485,1.708581,4.931397,0.235511,0.127403,0.227157,9.503212,0.119638,0.956595,0.197586,0.340952,0.220014,0.145712,0.143408,1.275800
22,9.439419,1.507576,5.087771,0.235257,0.126824,0.224290,9.431812,0.129590,1.110850,0.231657,0.335944,0.238100,0.165856,0.123017,1.346773
23,9.378788,1.479414,5.075707,0.236907,0.127769,0.228809,9.195872,0.128991,1.006308,0.218076,0.333420,0.216472,0.181799,0.122741,1.336040
24,9.578375,1.688712,5.048139,0.240098,0.124477,0.220197,9.388397,0.129116,0.894080,0.199588,0.328014,0.203666,0.168133,0.147505,1.279666
25,9.784933,1.772372,5.083328,0.249705,0.126319,0.220206,9.745672,0.132846,1.021840,0.185047,0.329369,0.206773,0.162217,0.124089,1.286194
26,9.059221,1.217644,5.063583,0.228693,0.122035,0.216392,9.289770,0.125322,1.337538,0.215396,0.326028,0.198119,0.191667,0.143542,1.311496
27,9.252008,1.232082,5.064963,0.240464,0.118065,0.209140,10.249083,0.136237,1.199687,0.188910,0.334152,0.201973,0.149200,0.138667,1.267186
