epoch,g_total,g_adv,g_recon,g_fm,g_tv,g_lap,g_ms,g_stats,d_loss,val_l1,val_edge,val_lap,val_stats,val_ssim,val_score
1,20.923695,0.762555,15.945680,0.318939,0.450436,0.818061,6.414658,0.429957,1.310485,0.412327,0.740044,0.899049,0.345576,0.064823,1.972573
2,15.932917,1.232533,11.139950,0.293406,0.583849,0.969065,4.076657,0.270698,1.096408,0.247683,0.591978,0.831245,0.191733,0.084286,1.646206
3,12.532503,0.989369,8.231533,0.238354,0.462729,0.759484,5.035597,0.171348,1.382131,0.222869,0.448332,0.619376,0.159984,0.127336,1.467003
4,11.428562,0.834589,7.230792,0.215696,0.385005,0.635666,6.090465,0.147953,1.343604,0.215677,0.479000,0.654625,0.158433,0.108933,1.493992
5,11.347845,1.075133,6.886423,0.228079,0.352109,0.583387,6.423061,0.140131,1.098089,0.192519,0.395565,0.522448,0.118136,0.153179,1.346068
6,10.921115,1.006705,6.716415,0.217368,0.308522,0.512405,6.256253,0.135754,1.202497,0.201001,0.363792,0.449392,0.133762,0.141746,1.347088
7,10.734522,1.062074,6.396419,0.205173,0.277226,0.467293,6.836748,0.133635,1.182095,0.223654,0.333516,0.377716,0.177988,0.170088,1.340377
8,10.295392,0.873207,6.160941,0.200904,0.240141,0.408833,7.136872,0.132312,1.254923,0.185165,0.336842,0.419899,0.136640,0.172319,1.288169
9,10.489622,1.045686,6.040638,0.211951,0.237369,0.412256,7.535355,0.133670,1.207531,0.166924,0.321219,0.404029,0.113719,0.138421,1.282187
10,10.451727,1.071306,5.877501,0.227312,0.206497,0.361369,8.074503,0.132655,1.127336,0.174757,0.316073,0.370129,0.119843,0.130417,1.290500
11,10.580837,1.373583,5.861118,0.240825,0.184871,0.326974,7.687351,0.129104,0.889853,0.183234,0.317947,0.317924,0.138672,0.142534,1.282870
12,10.635238,1.275923,5.793383,0.230926,0.172980,0.310336,8.539047,0.135527,1.187364,0.173560,0.318039,0.304862,0.127557,0.148533,1.256627
13,10.616724,1.317721,5.766148,0.232594,0.168968,0.306712,8.443965,0.134968,1.088113,0.171243,0.319224,0.285713,0.102429,0.151343,1.230916
14,10.601550,1.342847,5.701799,0.228523,0.161963,0.291830,8.654021,0.126980,1.143153,0.187307,0.323138,0.261145,0.144648,0.113507,1.303560
15,10.725014,1.531341,5.692283,0.243583,0.156600,0.285646,8.423620,0.128464,0.896542,0.158472,0.314444,0.275803,0.122919,0.163476,1.214377
16,11.037903,1.739307,5.759855,0.248217,0.161838,0.292848,8.475877,0.130838,0.941083,0.167894,0.320408,0.246952,0.106106,0.164970,1.204755
17,10.561949,1.396098,5.713408,0.233591,0.139006,0.249011,8.515282,0.126548,1.050174,0.174893,0.324119,0.344625,0.108179,0.139959,1.268052
18,10.942979,1.623124,5.766187,0.240745,0.148791,0.264574,8.723763,0.128512,0.890804,0.161506,0.318881,0.252293,0.106895,0.188605,1.176502
19,10.882534,1.665709,5.735085,0.252027,0.140088,0.251814,8.503242,0.127258,0.924684,0.156613,0.316901,0.241663,0.125877,0.158067,1.209952
20,10.368444,1.120001,5.677984,0.226463,0.135148,0.237798,8.999458,0.127676,1.196268,0.190629,0.330850,0.228621,0.139679,0.148768,1.260425
