epoch,g_total,g_adv,g_recon,g_fm,g_tv,g_lap,g_ms,g_stats,g_texstats,d_loss,val_l1,val_edge,val_lap,val_stats,val_texstats,val_ssim,val_score
1,29.914066,0.762287,18.202908,0.355890,1.300855,2.314981,6.071752,1.074874,1.558862,1.221162,0.705413,0.488348,0.507548,0.992200,0.252187,0.077008,2.462771
2,19.593798,1.426463,12.886782,0.326091,0.455500,0.764007,5.834886,0.769224,0.419043,0.576303,0.351455,0.793116,1.081494,0.456476,0.644318,0.040435,2.274322
3,13.591296,0.555407,8.755969,0.161530,0.558827,0.907968,4.181029,0.294174,0.467037,1.655508,0.244683,0.559364,0.758029,0.258402,0.315325,0.057385,1.757379
4,11.055746,0.755517,6.750200,0.166338,0.415318,0.678568,5.576468,0.199289,0.245432,1.504639,0.228957,0.436586,0.599912,0.237278,0.186217,0.076047,1.584535
5,10.391394,0.987779,5.964494,0.199575,0.344460,0.568727,6.766228,0.186016,0.158133,1.326360,0.215284,0.397321,0.543252,0.226302,0.145419,0.109830,1.489619
6,10.125514,1.046446,5.670695,0.198560,0.305820,0.508361,7.768536,0.190097,0.126696,1.321427,0.218474,0.430790,0.517741,0.247381,0.164556,0.109520,1.514595
7,10.057549,1.171582,5.451967,0.214360,0.270896,0.453684,8.610903,0.188337,0.115539,1.059407,0.214733,0.342818,0.424886,0.230075,0.132149,0.125128,1.432507
8,10.154924,1.402194,5.413694,0.224312,0.245647,0.414115,8.372929,0.191129,0.117779,1.142204,0.207518,0.359288,0.388809,0.219359,0.117094,0.080809,1.451001
9,9.936674,1.286548,5.559305,0.236637,0.233909,0.391299,6.957861,0.183257,0.112113,1.301283,0.250048,0.340207,0.338491,0.283432,0.120680,0.104291,1.489553
10,9.861788,1.426989,5.369580,0.242419,0.210721,0.356749,7.175671,0.180763,0.121686,1.019304,0.215216,0.333733,0.316277,0.227750,0.133759,0.088648,1.443663
11,9.846840,1.540270,5.289581,0.231345,0.189340,0.324834,7.525160,0.179716,0.131080,1.140341,0.205927,0.327030,0.333973,0.226072,0.150192,0.103522,1.430386
12,9.728868,1.551181,5.148265,0.235109,0.171472,0.299738,7.868107,0.180925,0.138390,0.918159,0.207089,0.325146,0.272642,0.214268,0.137512,0.116015,1.392347
13,9.729749,1.514285,5.129830,0.234843,0.165564,0.290712,8.355647,0.183240,0.140455,0.943901,0.202991,0.321052,0.272706,0.224546,0.161667,0.121405,1.400561
14,9.753250,1.634749,5.083637,0.233840,0.156429,0.276737,8.318054,0.177963,0.139687,0.932846,0.242140,0.324833,0.274470,0.275672,0.143667,0.100886,1.476961
15,9.491993,1.383577,4.996117,0.230163,0.148975,0.266663,9.061391,0.175936,0.143193,0.894267,0.201740,0.322208,0.280500,0.220867,0.150054,0.090978,1.423433
16,9.919003,1.660493,5.089570,0.233191,0.155405,0.274626,9.216361,0.183808,0.138180,1.094168,0.198645,0.324508,0.272917,0.199261,0.140466,0.111661,1.382324
17,9.863388,1.640905,5.063546,0.231167,0.163205,0.283760,9.195730,0.177810,0.126020,0.968504,0.217598,0.328068,0.256364,0.233085,0.125494,0.135310,1.383304
18,9.886575,1.665915,5.087314,0.229488,0.162944,0.283050,9.139912,0.176517,0.118803,0.929435,0.188067,0.323066,0.246074,0.216119,0.142791,0.131910,1.355039
19,9.496889,1.452924,4.983343,0.223654,0.139709,0.246592,9.448240,0.173724,0.111000,1.206714,0.208115,0.342033,0.243554,0.210699,0.096643,0.102175,1.379592
20,9.947059,1.849069,5.087173,0.240282,0.144235,0.251952,8.676956,0.176554,0.110200,0.703682,0.199537,0.331431,0.248215,0.222853,0.117134,0.142382,1.347269
21,9.683613,1.569198,5.123123,0.232803,0.137444,0.238595,8.983152,0.179214,0.098131,1.313790,0.205027,0.343410,0.232903,0.227615,0.092299,0.134683,1.347969
22,9.612281,1.566993,5.079107,0.236614,0.130808,0.230336,8.793301,0.181262,0.105706,1.022256,0.217486,0.334442,0.222971,0.242069,0.114634,0.118222,1.392600
23,9.575668,1.556004,5.104870,0.242915,0.136001,0.237162,8.283350,0.174214,0.105317,1.160928,0.212697,0.328147,0.215315,0.249162,0.117576,0.135533,1.372847
24,9.396843,1.371011,5.120590,0.233935,0.128524,0.222771,8.668234,0.178581,0.095568,1.219842,0.193233,0.334003,0.231489,0.201586,0.115794,0.140778,1.327982
25,9.441748,1.462634,5.058115,0.239000,0.123215,0.217077,8.739133,0.175209,0.102630,1.098974,0.197776,0.342959,0.231346,0.215580,0.098571,0.105265,1.367144
26,9.256863,1.217415,5.146996,0.235454,0.121070,0.212742,8.592723,0.189331,0.098256,1.263632,0.199462,0.338843,0.206520,0.215025,0.106090,0.150196,1.321554
27,9.615885,1.533918,5.122597,0.242022,0.125705,0.218255,8.894110,0.181832,0.097533,1.180693,0.191006,0.335160,0.203907,0.218831,0.110285,0.129781,1.336485
28,9.468005,1.360003,5.132961,0.234478,0.121790,0.213107,9.208059,0.188426,0.092909,1.299638,0.214924,0.330105,0.215546,0.265388,0.120261,0.146322,1.374279
29,9.228733,1.112693,5.138005,0.237500,0.119409,0.209246,9.313797,0.182345,0.089508,1.225345,0.197301,0.338196,0.203791,0.209435,0.102994,0.149628,1.314746
30,9.270288,1.163038,5.146800,0.238048,0.119843,0.207671,9.224131,0.178319,0.092528,1.239660,0.196215,0.343003,0.206126,0.226315,0.098030,0.113221,1.357156
31,9.283129,1.236052,5.112394,0.234526,0.118123,0.206237,9.124378,0.181811,0.091165,1.211117,0.190908,0.335584,0.205431,0.220412,0.110092,0.142718,1.324546
32,9.372242,1.278698,5.139452,0.234632,0.119684,0.206473,9.292096,0.183463,0.083674,1.265191,0.215373,0.328524,0.198119,0.261896,0.118310,0.152112,1.362001
33,9.175863,1.140259,5.068347,0.227203,0.116311,0.203775,9.542210,0.179131,0.092485,1.116461,0.183183,0.334574,0.198272,0.216703,0.114110,0.157326,1.300812
34,9.488586,1.369834,5.109256,0.240218,0.116375,0.201920,9.537731,0.185581,0.091891,0.981202,0.187944,0.339297,0.203381,0.213792,0.105091,0.130398,1.328059
35,9.312204,1.194669,5.188295,0.239338,0.120503,0.206539,8.987324,0.186328,0.085800,1.167017,0.190740,0.341967,0.203839,0.213122,0.094958,0.151800,1.304127
36,9.311375,1.194177,5.144808,0.228459,0.120349,0.206595,9.591307,0.178406,0.082590,1.244197,0.203123,0.331873,0.193850,0.249270,0.115243,0.134472,1.359053
37,9.256733,1.013985,5.185624,0.221196,0.120904,0.206786,10.129115,0.191658,0.088279,1.509189,0.202663,0.343140,0.199401,0.232932,0.090276,0.134782,1.339632
38,9.135707,1.043868,5.138350,0.228270,0.118103,0.203873,9.453326,0.180477,0.087645,1.340564,0.186745,0.341882,0.208442,0.222807,0.100313,0.133787,1.326929
39,8.979385,0.939055,5.146434,0.218561,0.118942,0.203866,9.425480,0.174207,0.073045,1.383750,0.198691,0.349610,0.201798,0.214766,0.084101,0.142578,1.317077
40,9.239532,0.910537,5.223262,0.241626,0.120728,0.204546,10.089985,0.191809,0.086908,1.738265,0.198081,0.379842,0.205975,0.209172,0.070741,0.119376,1.335884
41,9.167633,0.904991,5.270800,0.239358,0.115707,0.198194,9.524357,0.187685,0.086017,1.504892,0.199498,0.369115,0.203763,0.207520,0.067920,0.125228,1.326655
42,9.101587,0.863154,5.275559,0.233635,0.116618,0.199159,9.354345,0.195467,0.086402,1.700232,0.207006,0.347783,0.195135,0.226280,0.082652,0.149956,1.321179
43,8.770658,0.754403,5.158243,0.212736,0.114284,0.196715,9.321124,0.176443,0.082557,1.626504,0.195816,0.342965,0.194988,0.201708,0.085117,0.182374,1.265742
44,8.787000,0.782940,5.153750,0.222516,0.114339,0.195894,9.122433,0.175584,0.079169,1.504892,0.199284,0.358196,0.201239,0.216921,0.077678,0.130543,1.328673
45,9.089865,0.933048,5.209259,0.232207,0.115317,0.196657,9.332742,0.190806,0.090383,1.417847,0.193822,0.336099,0.187744,0.219238,0.103273,0.146411,1.315632
46,9.097240,0.921084,5.203937,0.237528,0.112802,0.196180,9.448237,0.189906,0.085264,1.550027,0.233446,0.364477,0.198832,0.276403,0.077350,0.134203,1.389336
47,9.050606,0.859711,5.276436,0.236674,0.116253,0.197176,9.157303,0.190212,0.073196,1.578177,0.216482,0.376514,0.205672,0.219059,0.074173,0.131030,1.348797
48,8.977160,0.853988,5.144932,0.224642,0.113914,0.195733,9.822914,0.182456,0.085217,1.513755,0.192839,0.344250,0.191757,0.211762,0.079471,0.180585,1.265996
49,9.114855,0.979570,5.239989,0.236216,0.115785,0.196908,9.096544,0.182303,0.075740,1.439438,0.214346,0.364061,0.196341,0.242741,0.082266,0.122361,1.367327
50,9.182470,0.841400,5.266166,0.239871,0.114921,0.195658,10.020037,0.204565,0.077390,1.748377,0.198980,0.355253,0.191017,0.216252,0.075574,0.176023,1.278619
51,8.822552,0.810879,5.140823,0.223855,0.110628,0.190534,9.271061,0.182112,0.077556,1.394539,0.187485,0.346762,0.189102,0.204393,0.086060,0.160144,1.280891
52,9.179840,0.901445,5.306462,0.247010,0.112787,0.193543,9.319087,0.194368,0.077532,1.599569,0.198843,0.352533,0.192465,0.225081,0.080088,0.143716,1.317515
53,8.913214,0.776140,5.133306,0.229529,0.113140,0.193778,9.975958,0.184967,0.076143,1.568658,0.198447,0.348016,0.189323,0.217307,0.081670,0.152945,1.303368
54,8.865881,0.729458,5.210924,0.240939,0.112778,0.194140,9.155301,0.187680,0.081096,1.600717,0.193004,0.342732,0.190675,0.219936,0.091265,0.173801,1.283007
55,9.034669,0.904503,5.215120,0.235855,0.116680,0.195149,9.283854,0.181523,0.074092,1.438040,0.232072,0.366723,0.197937,0.288726,0.068705,0.109663,1.414116
56,9.014629,0.783042,5.250125,0.239340,0.114782,0.195352,9.497595,0.197038,0.075552,1.565992,0.216409,0.355418,0.193177,0.246851,0.065890,0.135280,1.347269
