epoch,g_total,g_adv,g_recon,g_fm,g_tv,g_lap,g_ms,g_stats,g_texstats,d_loss,val_l1,val_edge,val_lap,val_stats,val_texstats,val_ssim,val_score
1,21.984772,0.651646,16.053631,0.307269,0.420389,0.772841,7.142280,0.687000,0.655849,1.352193,0.411123,0.885314,1.094246,0.541313,0.832715,0.045976,2.493888
2,17.235947,1.287303,11.623823,0.308675,0.560407,0.936188,4.298131,0.421921,0.563873,1.055862,0.283881,0.775349,1.109785,0.373159,0.630483,0.048224,2.152718
3,12.703010,0.623344,8.430264,0.179474,0.487543,0.797931,4.787503,0.246182,0.354357,1.575512,0.220950,0.470992,0.652292,0.224375,0.226211,0.096262,1.589574
4,11.974180,1.006186,7.326658,0.226592,0.385709,0.634077,6.000874,0.215366,0.216740,1.325173,0.214474,0.487414,0.660491,0.243347,0.230173,0.172571,1.523214
5,11.877952,1.032778,7.119039,0.235125,0.369856,0.613116,6.416012,0.216157,0.198732,1.354939,0.188284,0.388478,0.537632,0.167616,0.132999,0.144301,1.389146
6,11.656718,1.455999,6.541281,0.239939,0.315339,0.523039,6.943328,0.188511,0.145775,0.853157,0.190361,0.394528,0.506088,0.162767,0.131002,0.141580,1.384570
7,11.470987,1.342609,6.668183,0.217778,0.303210,0.508309,6.453964,0.197412,0.141918,1.020268,0.190152,0.370198,0.432081,0.161743,0.099411,0.139964,1.347429
8,10.804005,1.010794,6.477414,0.231110,0.252059,0.422456,6.497691,0.192423,0.111460,1.340116,0.205047,0.357119,0.449111,0.207438,0.111778,0.114865,1.418465
9,10.508935,0.920748,6.171913,0.235337,0.232778,0.397701,6.977451,0.179935,0.117359,1.409286,0.172997,0.326589,0.366525,0.148906,0.113536,0.136395,1.312921
10,10.785172,1.149358,6.123761,0.237059,0.233283,0.411038,7.173604,0.183240,0.127940,1.278450,0.168014,0.319875,0.344210,0.146129,0.125200,0.156146,1.287097
11,10.863209,1.286676,5.950554,0.241352,0.218846,0.385639,7.674476,0.177584,0.133096,1.008424,0.185957,0.319799,0.346591,0.181676,0.113435,0.152945,1.320054
12,11.182201,1.555035,6.088840,0.252450,0.211463,0.379077,7.339723,0.188525,0.128876,0.984232,0.167541,0.318353,0.346887,0.152396,0.137474,0.172251,1.280717
