model_weight,logreg_weight,auc
0.51,0.49,0.9350825380733035
0.52,0.48,0.9350715183038371
0.53,0.47,0.9350053996870386
0.56,0.43999999999999995,0.9349943799175721
0.5,0.5,0.9349392810702399
0.55,0.44999999999999996,0.9349282613007736
0.6,0.4,0.9349282613007736
0.49,0.51,0.9348952019923742
0.58,0.42000000000000004,0.9348731624534415
0.59,0.41000000000000003,0.9348731624534414
0.5700000000000001,0.42999999999999994,0.9348731624534413
0.54,0.45999999999999996,0.9348511229145087
0.48,0.52,0.9348511229145087
0.63,0.37,0.9348290833755759
0.62,0.38,0.9348290833755757
0.47000000000000003,0.53,0.93478500429771
0.61,0.39,0.9347739845282437
0.64,0.36,0.9347519449893109
0.65,0.35,0.9347519449893108
0.66,0.33999999999999997,0.934729905450378
0.46,0.54,0.9347078659114451
0.44,0.56,0.9346197077557138
0.45,0.55,0.9346197077557138
0.68,0.31999999999999995,0.9346086879862473
0.6900000000000001,0.30999999999999994,0.9346086879862472
0.67,0.32999999999999996,0.934575628677848
0.43,0.5700000000000001,0.9345646089083817
0.42,0.5800000000000001,0.9345646089083817
0.72,0.28,0.9345646089083817
0.7000000000000001,0.29999999999999993,0.9345535891389153
0.71,0.29000000000000004,0.9345315495999823
0.73,0.27,0.9345315495999823
0.4,0.6,0.9344544112137174
0.41000000000000003,0.59,0.9343993123663853
0.39,0.61,0.9343882925969188
0.38,0.62,0.9343552332885197
0.74,0.26,0.9343001344411875
0.37,0.63,0.934211976285456
0.75,0.25,0.9342009565159897
0.36,0.64,0.9341458576686575
0.76,0.24,0.9341238181297247
0.35000000000000003,0.6499999999999999,0.9340136204350604
0.77,0.22999999999999998,0.9339254622793292
0.34,0.6599999999999999,0.9338593436625306
0.78,0.21999999999999997,0.9337381261983999
0.33,0.6699999999999999,0.9337050668900008
0.79,0.20999999999999996,0.9335728296564036
0.32,0.6799999999999999,0.9335507901174707
0.3,0.7,0.9335177308090715
0.31,0.69,0.933506711039605
0.8,0.19999999999999996,0.9334405924228064
0.29,0.71,0.9333303947281424
0.81,0.18999999999999995,0.9332091772640116
0.28,0.72,0.9330989795693474
0.8200000000000001,0.17999999999999994,0.9330989795693474
0.27,0.73,0.9329777621052167
0.26,0.74,0.9329116434884183
0.25,0.75,0.9327683864853548
0.8300000000000001,0.16999999999999993,0.9326802283296234
0.24,0.76,0.9325920701738919
0.23,0.77,0.9324488131708284
0.84,0.16000000000000003,0.9323826945540299
0.22,0.78,0.9323386154761643
0.85,0.15000000000000002,0.9321843387036343
0.21,0.79,0.9321182200868359
0.86,0.14,0.9318868049280408
0.2,0.8,0.9318206863112423
0.19,0.81,0.9317655874639102
0.87,0.13,0.9316333502303132
0.18,0.8200000000000001,0.9314019350715182
0.88,0.12,0.9311154210653912
0.17,0.83,0.9310382826791264
0.16,0.84,0.9308178872897979
0.89,0.10999999999999999,0.9306966698256672
0.15,0.85,0.9305644325920701
0.14,0.86,0.930299958124876
0.9,0.09999999999999998,0.9302117999691446
0.13,0.87,0.9299914045798162
0.12,0.88,0.9297489696515548
0.91,0.08999999999999997,0.9295836731095585
0.11,0.89,0.9294844951843606
0.1,0.9,0.9292971591034316
0.92,0.07999999999999996,0.929153902100368
0.09,0.91,0.9290326846362373
0.08,0.92,0.9285918938575806
0.93,0.06999999999999995,0.9285367950102484
0.07,0.9299999999999999,0.9281290635399907
0.9400000000000001,0.05999999999999994,0.9278976483811958
0.06,0.94,0.9278425495338638
0.05,0.95,0.9275119564498711
0.9500000000000001,0.04999999999999993,0.9272034029048112
0.04,0.96,0.9270491261322814
0.03,0.97,0.926729552817755
0.96,0.040000000000000036,0.9264871178894938
0.02,0.98,0.9262667225001653
0.01,0.99,0.9259140898772398
0.0,1.0,0.9256936944879113
0.97,0.030000000000000027,0.9256385956405792
0.98,0.020000000000000018,0.9248121129305976
0.99,0.010000000000000009,0.9237982941396867
1.0,0.0,0.9225585700747141
