model_weight,logreg_weight,auc
0.58,0.42000000000000004,0.9365066876475217
0.59,0.41000000000000003,0.9365066876475215
0.6,0.4,0.9364280094413847
0.56,0.43999999999999995,0.9364167696976509
0.5700000000000001,0.42999999999999994,0.9364167696976509
0.66,0.33999999999999997,0.9363718107227155
0.55,0.44999999999999996,0.9363718107227155
0.61,0.39,0.9363718107227155
0.67,0.32999999999999996,0.9363605709789816
0.63,0.37,0.9362931325165786
0.46,0.54,0.9362931325165785
0.62,0.38,0.9362931325165785
0.65,0.35,0.9362818927728448
0.47000000000000003,0.53,0.936270653029111
0.49,0.51,0.9362481735416432
0.51,0.49,0.9362481735416432
0.64,0.36,0.9362256940541756
0.5,0.5,0.9362256940541754
0.48,0.52,0.9362144543104418
0.45,0.55,0.9362144543104417
0.68,0.31999999999999995,0.9362144543104417
0.54,0.45999999999999996,0.9362032145667081
0.53,0.47,0.9361694953355063
0.52,0.48,0.9361582555917726
0.6900000000000001,0.30999999999999994,0.9361582555917725
0.44,0.56,0.9360570978981679
0.42,0.5800000000000001,0.9360233786669664
0.41000000000000003,0.59,0.9360008991794987
0.43,0.5700000000000001,0.9359896594357648
0.7000000000000001,0.29999999999999993,0.9359559402045633
0.71,0.29000000000000004,0.9359334607170956
0.72,0.28,0.935910981229628
0.4,0.6,0.9358547825109588
0.39,0.61,0.9358547825109588
0.38,0.62,0.9358098235360234
0.73,0.27,0.9358098235360233
0.37,0.63,0.9357423850736204
0.74,0.26,0.9357086658424189
0.75,0.25,0.9356861863549512
0.36,0.64,0.935686186354951
0.35000000000000003,0.6499999999999999,0.9356412273800159
0.77,0.22999999999999998,0.9356075081488142
0.76,0.24,0.9356075081488142
0.34,0.6599999999999999,0.9355063504552097
0.33,0.6699999999999999,0.9354051927616052
0.78,0.21999999999999997,0.9353714735304035
0.79,0.20999999999999996,0.9352141171181297
0.32,0.6799999999999999,0.9351803978869282
0.31,0.69,0.9350792401933236
0.8,0.19999999999999996,0.9349331235247836
0.3,0.7,0.9348094863437114
0.81,0.18999999999999995,0.9347870068562437
0.29,0.71,0.93462965044397
0.28,0.72,0.9345509722378329
0.8200000000000001,0.17999999999999994,0.9345284927503652
0.8300000000000001,0.16999999999999993,0.9344273350567606
0.27,0.73,0.9343374171068899
0.26,0.74,0.9341800606946161
0.25,0.75,0.9340676632572777
0.84,0.16000000000000003,0.9340676632572777
0.24,0.76,0.9338091491513992
0.85,0.15000000000000002,0.9337866696639316
0.23,0.77,0.9336405529953917
0.86,0.14,0.9335843542767225
0.22,0.78,0.9334269978644487
0.21,0.79,0.9333595594020456
0.87,0.13,0.933190963246038
0.2,0.8,0.9331684837585703
0.19,0.81,0.9329324491401596
0.88,0.12,0.9328425311902888
0.18,0.8200000000000001,0.9327863324716196
0.17,0.83,0.9325278183657412
0.89,0.10999999999999999,0.932404181184669
0.16,0.84,0.9323592222097336
0.15,0.85,0.9322468247723951
0.9,0.09999999999999998,0.9321119478475891
0.14,0.86,0.9319545914353152
0.13,0.87,0.9316960773294368
0.91,0.08999999999999997,0.9316735978419692
0.12,0.88,0.9313926042486232
0.92,0.07999999999999996,0.9312127683488817
0.11,0.89,0.9310891311678093
0.1,0.9,0.9308868157806003
0.09,0.91,0.9305721029560526
0.93,0.06999999999999995,0.9304484657749803
0.08,0.92,0.9302349106440374
0.07,0.9299999999999999,0.9298752388445544
0.06,0.94,0.9295605260200068
0.9400000000000001,0.05999999999999994,0.9294593683264023
0.05,0.95,0.9291334157581208
0.04,0.96,0.9287400247274362
0.03,0.97,0.9283803529279533
0.02,0.98,0.9282005170282117
0.9500000000000001,0.04999999999999993,0.9279195234348657
0.01,0.99,0.9278970439473979
0.0,1.0,0.9274474541980443
0.96,0.040000000000000036,0.9266831516241429
0.97,0.030000000000000027,0.925244464426211
0.98,0.020000000000000018,0.9231313926042486
0.99,0.010000000000000009,0.9207935259076093
1.0,0.0,0.9190513656288637
